chrom	start	end	gene	strand	fixed_alu	category	tss	gene_density	recomb_cM_Mb
chr10	128088	132088	ZMYND11	+	4	HighConfNDD	130088	1.0	0.30632957171104214
chr10	687668	691668	DIP2C	-	0	HighConfNDD	689668	5.0	2.402800782916225
chr10	10796397	10800397	CELF2	+	2	HighConfNDD	10798397	0.0	0.6161186270980323
chr10	12041170	12045170	UPF2	-	2	HighConfNDD	12043170	8.0	1.34071757242058
chr10	18138424	18142424	CACNB2	+	3	HighConfNDD	18140424	4.0	1.040903433793261
chr10	27744060	27748060	MKX	-	0	HighConfNDD	27746060	3.0	0.18422255023295975
chr10	28530493	28534493	WAC	+	3	HighConfNDD	28532493	2.0	0.3187584731819726
chr10	43407186	43411186	HNRNPF	-	5	HighConfNDD	43409186	8.0	0.11656575610899722
chr10	48682873	48686873	WDFY4	+	3	HighConfNDD	48684873	6.0	3.0767689564159184
chr10	55625942	55629942	PCDH15	-	0	HighConfNDD	55627942	0.0	0.3086668550101024
chr10	60731490	60735490	ANK3	-	0	HighConfNDD	60733490	2.0	0.7280554499460834
chr10	63519401	63523401	REEP3	+	1	HighConfNDD	63521401	2.0	0.06653060715819947
chr10	63519850	63523850	JMJD1C	-	1	HighConfNDD	63521850	2.0	0.06686338237614109
chr10	67761637	67765637	CTNNA3	-	2	HighConfNDD	67763637	5.0	0.39798594499629303
chr10	74149202	74153202	ADK	+	1	HighConfNDD	74151202	12.0	0.07026341520500523
chr10	77636369	77640369	KCNMA1	-	0	HighConfNDD	77638369	3.0	2.0650244334451884
chr10	79066966	79070966	ZMIZ1	+	0	HighConfNDD	79068966	4.0	4.433247014539035
chr10	80342745	80346745	DYDC2	+	5	HighConfNDD	80344745	9.0	0.25265200357239337
chr10	80354755	80358755	DYDC1	-	1	HighConfNDD	80356755	9.0	0.22736728127526362
chr10	86364795	86368795	GRID1	-	0	HighConfNDD	86366795	5.0	0.8103495528904148
chr10	87860638	87864638	PTEN	+	0	HighConfNDD	87862638	5.0	0.9304076049347998
chr10	91921770	91925770	BTAF1	+	2	HighConfNDD	91923770	5.0	0.409902071629773
chr10	92824831	92828831	EXOC6	+	3	HighConfNDD	92826831	5.0	0.42968381934358035
chr10	93755840	93759840	LGI1	+	0	HighConfNDD	93757840	8.0	2.1916825195619083
chr10	93891973	93895973	SLC35G1	+	1	HighConfNDD	93893973	9.0	0.36433611201971416
chr10	100994618	100998618	LZTS2	+	1	HighConfNDD	100996618	15.0	2.5246426463149874
chr10	101352033	101356033	BTRC	+	2	HighConfNDD	101354033	17.0	0.8548554568764644
chr10	102118368	102122368	LDB1	-	0	HighConfNDD	102120368	20.0	0.5612437449164531
chr10	102852272	102856272	BORCS7-ASMT	+	9	HighConfNDD	102854272	20.0	0.25024945550399025
chr10	104639290	104643290	SORCS3	+	0	HighConfNDD	104641290	5.0	0.5311985988225842
chr10	110565684	110569684	SMC3	+	4	HighConfNDD	110567684	7.0	0.7817915830702304
chr10	112948247	112952247	TCF7L2	+	0	HighConfNDD	112950247	0.0	2.4232315438024443
chr10	126903409	126907409	DOCK1	+	0	HighConfNDD	126905409	2.0	3.0009805038761783
chr10	129971053	129975053	EBF3	-	0	HighConfNDD	129973053	2.0	3.4019897376148833
chr11	535321	539321	HRAS	-	2	HighConfNDD	537321	46.0	0.5079976786537332
chr11	574470	578470	PHRF1	+	0	HighConfNDD	576470	47.0	0.5556486934501004
chr11	705118	709118	DEAF1	-	0	HighConfNDD	707118	46.0	0.889525051631237
chr11	796281	800281	SLC25A22	-	1	HighConfNDD	798281	41.0	0.8095847403554379
chr11	840812	844812	TSPAN4	+	3	HighConfNDD	842812	37.0	0.556493123330386
chr11	1387899	1391899	BRSK2	+	0	HighConfNDD	1389899	21.0	0.7462924045481167
chr11	1762573	1766573	CTSD	-	3	HighConfNDD	1764573	23.0	1.7898095250187884
chr11	4543191	4547191	OR52M1	+	0	HighConfNDD	4545191	29.0	1.175181032998882
chr11	6417414	6421414	APBB1	-	2	HighConfNDD	6419414	34.0	4.087449439710085
chr11	6617448	6621448	TPP1	-	0	HighConfNDD	6619448	32.0	1.7816259785354305
chr11	17732774	17736774	KCNC1	+	0	HighConfNDD	17734774	11.0	3.1501228233932466
chr11	19348724	19352724	NAV2	+	0	HighConfNDD	19350724	5.0	2.1101602672728603
chr11	22623509	22627509	GAS2	+	3	HighConfNDD	22625509	4.0	1.4569354804100243
chr11	31507755	31511755	ELP4	+	0	HighConfNDD	31509755	5.0	0.04154452112317131
chr11	34049731	34053731	CAPRIN1	+	1	HighConfNDD	34051731	9.0	0.16627806314694737
chr11	41457773	41461773	LRRC4C	-	0	HighConfNDD	41459773	0.0	0.2935655383133451
chr11	46119454	46123454	PHF21A	-	0	HighConfNDD	46121454	14.0	0.3246171889966831
chr11	57333892	57337892	SSRP1	-	2	HighConfNDD	57335892	26.0	0.40805947050102986
chr11	57751243	57755243	CTNND1	+	5	HighConfNDD	57753243	29.0	0.026555991529306766
chr11	61428031	61432031	CPSF7	-	5	HighConfNDD	61430031	26.0	0.24008267991476373
chr11	61678391	61682391	DAGLA	+	1	HighConfNDD	61680391	25.0	0.7605582489593132
chr11	62554235	62558235	AHNAK	-	5	HighConfNDD	62556235	42.0	0.5837739982865742
chr11	62725384	62729384	HNRNPUL2-BSCL2	-	2	HighConfNDD	62727384	40.0	0.6546716223979843
chr11	62725457	62729457	HNRNPUL2	-	2	HighConfNDD	62727457	40.0	0.6523296169362425
chr11	63367785	63371785	SLC22A9	+	0	HighConfNDD	63369785	16.0	1.5777641033604084
chr11	63836928	63840928	MARK2	+	0	HighConfNDD	63838928	33.0	1.1491666255507482
chr11	64721197	64725197	NRXN2	-	0	HighConfNDD	64723197	47.0	0.19832395664280966
chr11	64776786	64780786	SF1	-	2	HighConfNDD	64778786	40.0	2.0339287299428577
chr11	65259913	65263913	POLA2	+	5	HighConfNDD	65261913	44.0	0.10825358434487953
chr11	65593996	65597996	KCNK7	-	3	HighConfNDD	65595996	46.0	0.48717178898598945
chr11	66068272	66072272	PACS1	+	0	HighConfNDD	66070272	49.0	0.19283725601127344
chr11	66478013	66482013	DPP3	+	2	HighConfNDD	66480013	37.0	0.0869644159257632
chr11	66566879	66570879	CTSF	-	4	HighConfNDD	66568879	33.0	0.08717230539829757
chr11	68211852	68215852	KMT5B	-	0	HighConfNDD	68213852	9.0	1.6359966628739642
chr11	70268690	70272690	PPFIA1	+	3	HighConfNDD	70270690	5.0	1.938748211875918
chr11	71250577	71254577	SHANK2	-	0	HighConfNDD	71252577	7.0	1.9790150020966735
chr11	71450868	71454868	DHCR7	-	2	HighConfNDD	71452868	12.0	0.3786367370268806
chr11	76442923	76446923	EMSY	+	1	HighConfNDD	76444923	6.0	0.3878191002296205
chr11	85626335	85630335	DLG2	-	0	HighConfNDD	85628335	7.0	0.11388867912984324
chr11	89063982	89067982	GRM5	-	0	HighConfNDD	89065982	2.0	0.4021138041915151
chr11	99018949	99022949	CNTN5	+	0	HighConfNDD	99020949	0.0	2.9549403158954135
chr11	101870562	101874562	TRPC6	-	1	HighConfNDD	101872562	6.0	0.49573930041120207
chr11	107016476	107020476	GUCY1A2	-	0	HighConfNDD	107018476	1.0	0.4196359626244828
chr11	111764389	111768389	PPP2R1B	-	1	HighConfNDD	111766389	26.0	0.16157389976825698
chr11	111925144	111929144	DIXDC1	+	4	HighConfNDD	111927144	25.0	0.10386149014692592
chr11	113473691	113477691	DRD2	-	0	HighConfNDD	113475691	8.0	1.2786666975419791
chr11	113973075	113977075	HTR3A	+	2	HighConfNDD	113975075	12.0	1.5818914314115773
chr11	114057041	114061041	ZBTB16	+	0	HighConfNDD	114059041	11.0	4.642283765999338
chr11	115502957	115506957	CADM1	-	1	HighConfNDD	115504957	0.0	0.5082699986378714
chr11	117142284	117146284	PAFAH1B2	+	1	HighConfNDD	117144284	13.0	0.2138132341030996
chr11	118434456	118438456	KMT2A	+	0	HighConfNDD	118436456	24.0	0.8056561246115734
chr11	119344705	119348705	MFRP	-	1	HighConfNDD	119346705	26.0	3.6676209520723546
chr11	120509746	120513746	GRIK4	+	0	HighConfNDD	120511746	5.0	3.9367846352078573
chr11	121022072	121026072	TBCEL	+	0	HighConfNDD	121024072	4.0	0.7241170814810971
chr11	121022125	121026125	TBCEL-TECTA	+	0	HighConfNDD	121024125	4.0	0.7238844732376037
chr11	121099243	121103243	TECTA	+	0	HighConfNDD	121101243	4.0	0.7211009337913765
chr11	124798706	124802706	MSANTD2	-	1	HighConfNDD	124800706	23.0	4.610786921079182
chr11	126267144	126271144	SRPRA	-	1	HighConfNDD	126269144	14.0	0.19791749744399567
chr11	127001460	127005460	KIRREL3	-	0	HighConfNDD	127003460	0.0	2.050416470588061
chr11	129277324	129281324	ARHGAP32	-	0	HighConfNDD	129279324	4.0	1.193972678776447
chr12	387320	391320	KDM5A	-	1	HighConfNDD	389320	7.0	1.1944636774853001
chr12	1968772	1972772	CACNA1C	+	0	HighConfNDD	1970772	6.0	2.4288439303884957
chr12	4718400	4722400	GALNT8	+	1	HighConfNDD	4720400	15.0	0.24709689343776375
chr12	4907905	4911905	KCNA1	+	1	HighConfNDD	4909905	11.0	4.886570266325272
chr12	10672318	10676318	STYK1	-	3	HighConfNDD	10674318	30.0	1.6985046527124936
chr12	13980002	13984002	GRIN2B	-	0	HighConfNDD	13982002	2.0	1.9075933549744661
chr12	20808702	20812702	SLCO1B3	+	2	HighConfNDD	20810702	5.0	1.0685194716937474
chr12	20813674	20817674	SLCO1B3-SLCO1B7	+	2	HighConfNDD	20815674	5.0	1.0723474580116488
chr12	24560544	24564544	SOX5	-	0	HighConfNDD	24562544	2.0	0.8181442306075581
chr12	28131249	28135249	CCDC91	+	0	HighConfNDD	28133249	5.0	0.5909043599786656
chr12	42588355	42592355	PRICKLE1	-	1	HighConfNDD	42590355	4.0	0.6999941715464786
chr12	45727706	45731706	ARID2	+	0	HighConfNDD	45729706	1.0	0.8887257401858051
chr12	47941048	47945048	VDR	-	0	HighConfNDD	47943048	14.0	0.8537341571774704
chr12	48955487	48959487	ARF3	-	3	HighConfNDD	48957487	32.0	0.5610857463613428
chr12	48976322	48980322	WNT1	+	1	HighConfNDD	48978322	31.0	0.5703633209382275
chr12	51588266	51592266	SCN8A	+	2	HighConfNDD	51590266	17.0	1.375956882309879
chr12	56187567	56191567	SMARCC2	-	2	HighConfNDD	56189567	48.0	0.15293707150235036
chr12	57126483	57130483	LRP1	+	0	HighConfNDD	57128483	36.0	2.696493908185573
chr12	57518710	57522710	MBD6	+	2	HighConfNDD	57520710	39.0	0.3525128143321865
chr12	57740157	57744157	AGAP2	-	2	HighConfNDD	57742157	30.0	0.29089477250678897
chr12	62258338	62262338	USP15	+	1	HighConfNDD	62260338	2.0	0.24874807789345255
chr12	63149201	63153201	AVPR1A	-	0	HighConfNDD	63151201	1.0	0.6302072376115575
chr12	65167583	65171583	LEMD3	+	1	HighConfNDD	65169583	5.0	0.11230177268515718
chr12	67067162	67071162	GRIP1	-	0	HighConfNDD	67069162	1.0	1.6369777118161721
chr12	70635440	70639440	PTPRB	-	0	HighConfNDD	70637440	3.0	1.7085606469997572
chr12	75509636	75513636	KRR1	-	1	HighConfNDD	75511636	5.0	0.16971581381426404
chr12	77322641	77326641	NAV3	+	0	HighConfNDD	77324641	2.0	0.650920919750746
chr12	88140099	88144099	CEP290	-	0	HighConfNDD	88142099	4.0	0.43201177762469456
chr12	99982936	99986936	ANKS1B	-	0	HighConfNDD	99984936	7.0	0.19379334176051088
chr12	102956410	102960410	PAH	-	0	HighConfNDD	102958410	2.0	2.124767824993228
chr12	106136954	106140954	NUAK1	-	0	HighConfNDD	106138954	4.0	2.5738523674836244
chr12	111032165	111036165	CUX2	+	0	HighConfNDD	111034165	8.0	0.16048614210461665
chr12	112380439	112384439	HECTD4	-	4	HighConfNDD	112382439	7.0	0.023359848593429433
chr12	112416351	112420351	PTPN11	+	9	HighConfNDD	112418351	8.0	0.01554948610532847
chr12	116275693	116279693	MED13L	-	2	HighConfNDD	116277693	3.0	1.2576382523644725
chr12	119987236	119991236	BICDL1	+	1	HighConfNDD	119989236	15.0	0.33729550970349464
chr12	121580279	121584279	KDM2B	-	1	HighConfNDD	121582279	16.0	3.5693820094297735
chr12	121802009	121806009	SETD1B	+	0	HighConfNDD	121804009	20.0	1.0335975259323504
chr12	122750824	122754824	DENR	+	1	HighConfNDD	122752824	18.0	0.5697658347517631
chr12	123710353	123714353	ATP6V0A2	+	3	HighConfNDD	123712353	17.0	0.18449939795971204
chr12	123760188	123764188	DNAH10	+	3	HighConfNDD	123762188	15.0	1.2266160681906513
chr12	131947942	131951942	EP400	+	10	HighConfNDD	131949942	7.0	0.43813229239475504
chr13	19956677	19960677	ZMYM2	+	0	HighConfNDD	19958677	7.0	1.7507205855416008
chr13	23431763	23435763	SACS	-	3	HighConfNDD	23433763	4.0	2.446546513317216
chr13	30305551	30309551	KATNAL1	-	0	HighConfNDD	30307551	5.0	0.9984475809044469
chr13	32313086	32317086	BRCA2	+	3	HighConfNDD	32315086	5.0	2.1083771498130233
chr13	34940270	34944270	NBEA	+	0	HighConfNDD	34942270	0.0	0.4535633463364519
chr13	49442274	49446274	SETDB2	+	3	HighConfNDD	49444274	10.0	1.9317158557393554
chr13	51452264	51456264	INTS6	-	0	HighConfNDD	51454264	8.0	0.21047119982611662
chr13	67228445	67232445	PCDH9	-	0	HighConfNDD	67230445	0.0	1.814684074758972
chr13	76988660	76992660	CLN5	+	2	HighConfNDD	76990660	6.0	0.7986019157343094
chr13	77325094	77329094	MYCBP2	-	0	HighConfNDD	77327094	8.0	0.4556910590858365
chr13	80339126	80343126	SPRY2	-	0	HighConfNDD	80341126	0.0	0.8012103982210306
chr13	87669371	87673371	SLITRK5	+	0	HighConfNDD	87671371	0.0	0.760475791222035
chr13	93224807	93228807	GPC6	+	0	HighConfNDD	93226807	0.0	0.88008720682069
chr13	108594152	108598152	MYO16	+	0	HighConfNDD	108596152	3.0	1.96400488344608
chr13	114312482	114316482	CHAMP1	+	5	HighConfNDD	114314482	6.0	0.17924118305174375
chr14	21382019	21386019	SUPT16H	-	0	HighConfNDD	21384019	24.0	0.272784301581126
chr14	21454126	21458126	CHD8	-	5	HighConfNDD	21456126	22.0	0.278815257452365
chr14	22827820	22831820	SLC7A7	-	4	HighConfNDD	22829820	28.0	6.162519858904361
chr14	28762329	28766329	FOXG1	+	0	HighConfNDD	28764329	0.0	2.219981855839386
chr14	32074114	32078114	ARHGAP5	+	0	HighConfNDD	32076114	1.0	0.9415992442592369
chr14	39430466	39434466	FBXO33	-	0	HighConfNDD	39432466	5.0	0.11213874937922697
chr14	41604876	41608876	LRFN5	+	0	HighConfNDD	41606876	0.0	0.14126968070883095
chr14	45082107	45086107	PRPF39	+	1	HighConfNDD	45084107	6.0	0.09690910798582308
chr14	47673605	47677605	MDGA2	-	0	HighConfNDD	47675605	0.0	0.4258254896108582
chr14	50229578	50233578	SOS2	-	1	HighConfNDD	50231578	10.0	0.12908404258574535
chr14	57266905	57270905	EXOC5	-	1	HighConfNDD	57268905	4.0	0.29665878145358704
chr14	63100037	63104037	KCNH5	-	1	HighConfNDD	63102037	3.0	0.468601651387317
chr14	64336112	64340112	ESR2	-	2	HighConfNDD	64338112	7.0	0.1896507398634384
chr14	66505407	66509407	GPHN	+	1	HighConfNDD	66507407	1.0	0.06765564027858773
chr14	67814590	67818590	ZFYVE26	-	3	HighConfNDD	67816590	12.0	0.2809352297416723
chr14	76308712	76312712	ESRRB	+	0	HighConfNDD	76310712	4.0	2.0799076760803814
chr14	76759468	76763468	VASH1	+	0	HighConfNDD	76761468	8.0	2.516988509132858
chr14	77026708	77030708	IRF2BPL	-	2	HighConfNDD	77028708	16.0	1.3364809835138658
chr14	78168373	78172373	NRXN3	+	0	HighConfNDD	78170373	4.0	1.3837126698291513
chr14	91415844	91419844	CCDC88C	-	0	HighConfNDD	91417844	6.0	0.6932097905679768
chr14	93331219	93335219	UNC79	+	1	HighConfNDD	93333219	10.0	0.09467909772382654
chr14	100236298	100240298	YY1	+	2	HighConfNDD	100238298	8.0	0.3336572017346384
chr14	101962573	101966573	DYNC1H1	+	1	HighConfNDD	101964573	8.0	0.5314409571491296
chr14	103055549	103059549	CDC42BPB	-	1	HighConfNDD	103057549	11.0	1.0545265151515082
chr15	22771063	22775063	NIPA1	+	1	HighConfNDD	22773063	5.0	4.334141668680331
chr15	22836644	22840644	NIPA2	+	7	HighConfNDD	22838644	6.0	4.334141668680331
chr15	22979063	22983063	CYFIP1	-	4	HighConfNDD	22981063	7.0	4.334141668680331
chr15	23037572	23041572	TUBGCP5	-	2	HighConfNDD	23039572	7.0	4.334141668680296
chr15	23645867	23649867	MAGEL2	-	0	HighConfNDD	23647867	5.0	3.0558550480073166
chr15	25437051	25441051	UBE3A	-	1	HighConfNDD	25439051	3.0	0.7286025437202781
chr15	25863184	25867184	ATP10A	-	0	HighConfNDD	25865184	1.0	2.732028924356662
chr15	26937539	26941539	GABRB3	-	0	HighConfNDD	26939539	2.0	6.751102197118364
chr15	26969181	26973181	GABRG3	+	2	HighConfNDD	26971181	2.0	4.200910076561364
chr15	28882483	28886483	APBA2	+	3	HighConfNDD	28884483	5.0	2.5532900610162557
chr15	29267822	29271822	NSMCE3	-	0	HighConfNDD	29269822	3.0	1.684950245859227
chr15	30622494	30626494	ARHGAP11B	+	3	HighConfNDD	30624494	8.0	0.21068179140030452
chr15	30888559	30892559	FAN1	+	2	HighConfNDD	30890559	9.0	0.19764595699165
chr15	31159160	31163160	TRPM1	-	1	HighConfNDD	31161160	3.0	2.4516630661189254
chr15	31868789	31872789	OTUD7A	-	0	HighConfNDD	31870789	1.0	2.131072282690809
chr15	31921438	31925438	CHRNA7	+	0	HighConfNDD	31923438	2.0	2.3248401064841318
chr15	37099299	37103299	MEIS2	-	0	HighConfNDD	37101299	0.0	1.6442832872122892
chr15	39579079	39583079	THBS1	+	0	HighConfNDD	39581079	4.0	0.3171198225812333
chr15	40767980	40771980	C15orf62	+	0	HighConfNDD	40769980	27.0	0.29428233195481823
chr15	43104113	43108113	UBR1	-	3	HighConfNDD	43106113	16.0	0.048570588167962114
chr15	43508958	43512958	MAP1A	+	1	HighConfNDD	43510958	26.0	0.08067022748747377
chr15	44954687	44958687	TERB2	+	3	HighConfNDD	44956687	15.0	0.10752008158434023
chr15	48643721	48647721	FBN1	-	1	HighConfNDD	48645721	8.0	0.6809958412161166
chr15	51620833	51624833	DMXL2	-	0	HighConfNDD	51622833	10.0	0.06843665570876567
chr15	51969778	51973778	LEO1	-	8	HighConfNDD	51971778	10.0	0.2662370861914809
chr15	52293804	52297804	MYO5C	-	1	HighConfNDD	52295804	10.0	1.4162607375504876
chr15	52527132	52531132	MYO5A	-	1	HighConfNDD	52529132	7.0	0.9270381811841588
chr15	57373967	57377967	CGNL1	+	3	HighConfNDD	57375967	5.0	5.656912495550586
chr15	59370871	59374871	MYO1E	-	1	HighConfNDD	59372871	7.0	3.3516708951978558
chr15	63831948	63835948	HERC1	-	1	HighConfNDD	63833948	8.0	0.4109284756148668
chr15	66251756	66255756	MEGF11	-	0	HighConfNDD	66253756	9.0	1.1064410862618956
chr15	66502959	66506959	ZWILCH	+	3	HighConfNDD	66504959	8.0	0.17562225355973737
chr15	68255211	68259211	CLN6	-	2	HighConfNDD	68257211	7.0	0.6660155046857597
chr15	68818897	68822897	ANP32A	-	0	HighConfNDD	68820897	7.0	2.4601517996906352
chr15	70096176	70100176	TLE3	-	0	HighConfNDD	70098176	0.0	5.331384172501572
chr15	72318157	72322157	CELF6	-	3	HighConfNDD	72320157	14.0	0.26789108609449386
chr15	72684186	72688186	BBS4	+	7	HighConfNDD	72686186	13.0	0.7212961202105816
