chrom	start	end	gene	category	width_kb	fixed_alu	ALU_count	LINE1_count	SVA_count
chr1	114509203	114513203	TRIM33	HighConfNDD	4.0	2	0	0	0
chr1	114693618	114697618	AMPD1	HighConfNDD	4.0	3	0	0	0
chr1	114756676	114760676	CSDE1	HighConfNDD	4.0	2	0	0	0
chr1	115974513	115978513	SLC22A15	HighConfNDD	4.0	1	0	0	0
chr1	116370668	116374668	ATP1A1	HighConfNDD	4.0	1	0	0	1
chr1	150267580	150271580	APH1A	HighConfNDD	4.0	4	0	0	0
chr1	150924263	150928263	SETDB1	HighConfNDD	4.0	7	0	0	0
chr1	151457494	151461494	POGZ	HighConfNDD	4.0	4	0	0	0
chr1	153669028	153673028	ILF2	HighConfNDD	4.0	7	1	0	0
chr1	154218179	154222179	UBAP2L	HighConfNDD	4.0	0	0	0	0
chr1	154565778	154569778	CHRNB2	HighConfNDD	4.0	1	0	0	0
chr1	155561162	155565162	ASH1L	HighConfNDD	4.0	3	0	0	0
chr1	156570604	156574604	IQGAP3	HighConfNDD	4.0	2	1	0	0
chr1	156813636	156817636	NTRK1	HighConfNDD	4.0	1	0	0	0
chr1	158928796	158932796	PYHIN1	HighConfNDD	4.0	0	0	0	0
chr1	159798511	159802511	FCRL6	HighConfNDD	4.0	1	0	0	0
chr1	160068483	160072483	KCNJ10	HighConfNDD	4.0	1	0	0	0
chr1	160113759	160117759	ATP1A2	HighConfNDD	4.0	0	0	0	0
chr1	164553584	164557584	PBX1	HighConfNDD	4.0	6	2	0	0
chr1	173712941	173716941	KLHL20	HighConfNDD	4.0	0	0	0	0
chr1	177162973	177166973	ASTN1	HighConfNDD	4.0	0	0	0	0
chr1	181315690	181319690	CACNA1E	HighConfNDD	4.0	0	1	0	0
chr1	186678922	186682922	PTGS2	HighConfNDD	4.0	0	0	0	0
chr1	197144694	197148694	ASPM	HighConfNDD	4.0	2	1	0	0
chr1	198636457	198640457	PTPRC	HighConfNDD	4.0	0	0	0	0
chr1	200618751	200622751	KIF14	HighConfNDD	4.0	4	0	0	1
chr1	202806487	202810487	KDM5B	HighConfNDD	4.0	0	2	0	0
chr1	203793623	203797623	ZC3H11A	HighConfNDD	4.0	2	0	0	0
chr1	205040937	205044937	CNTN2	HighConfNDD	4.0	0	0	0	0
chr1	205120015	205124015	RBBP5	HighConfNDD	4.0	3	0	0	0
chr1	206115699	206119699	AVPR1B	HighConfNDD	4.0	3	0	0	0
chr1	206505531	206509531	RASSF5	HighConfNDD	4.0	0	0	0	1
chr1	209684178	209688178	HSD11B1	HighConfNDD	4.0	0	1	0	0
chr1	216421448	216425448	USH2A	HighConfNDD	4.0	1	0	0	0
chr1	220526136	220530136	MARK1	HighConfNDD	4.0	0	0	0	1
chr1	229506341	229510341	NUP133	HighConfNDD	4.0	2	0	0	0
chr1	231526653	231530653	TSNAX-DISC1	HighConfNDD	4.0	1	0	0	0
chr1	231624790	231628790	DISC1	HighConfNDD	4.0	3	0	0	0
chr1	239384565	239388565	CHRM3	HighConfNDD	4.0	0	0	0	0
chr1	241355374	241359374	RGS7	HighConfNDD	4.0	0	1	0	0
chr1	244449909	244453909	ADSS2	HighConfNDD	4.0	0	0	0	0
chr1	244862560	244866560	HNRNPU	HighConfNDD	4.0	0	0	0	0
chr1	247758556	247762556	OR1C1	HighConfNDD	4.0	1	0	0	0
chr1	248229417	248233417	OR2M4	HighConfNDD	4.0	2	1	0	0
chr1	248595700	248599700	OR2T10	HighConfNDD	4.0	1	0	0	0
chr10	128088	132088	ZMYND11	HighConfNDD	4.0	4	1	0	0
chr10	687668	691668	DIP2C	HighConfNDD	4.0	0	0	0	0
chr10	10796397	10800397	CELF2	HighConfNDD	4.0	2	0	0	0
chr10	12041170	12045170	UPF2	HighConfNDD	4.0	2	2	0	0
chr10	18138424	18142424	CACNB2	HighConfNDD	4.0	3	0	0	0
chr10	27744060	27748060	MKX	HighConfNDD	4.0	0	0	0	0
chr10	28530493	28534493	WAC	HighConfNDD	4.0	3	0	0	0
chr10	43407186	43411186	HNRNPF	HighConfNDD	4.0	5	1	0	0
chr10	48682873	48686873	WDFY4	HighConfNDD	4.0	3	0	0	0
chr10	55625942	55629942	PCDH15	HighConfNDD	4.0	0	0	0	0
chr10	60731490	60735490	ANK3	HighConfNDD	4.0	0	0	1	0
chr10	63519401	63523401	REEP3	HighConfNDD	4.0	1	0	1	0
chr10	63519850	63523850	JMJD1C	HighConfNDD	4.0	1	0	1	0
chr10	67761637	67765637	CTNNA3	HighConfNDD	4.0	2	0	0	0
chr10	74149202	74153202	ADK	HighConfNDD	4.0	1	0	0	0
chr10	77636369	77640369	KCNMA1	HighConfNDD	4.0	0	1	0	0
chr10	79066966	79070966	ZMIZ1	HighConfNDD	4.0	0	0	0	0
chr10	80342745	80346745	DYDC2	HighConfNDD	4.0	5	0	0	1
chr10	80354755	80358755	DYDC1	HighConfNDD	4.0	1	0	0	0
chr10	86364795	86368795	GRID1	HighConfNDD	4.0	0	0	0	0
chr10	87860638	87864638	PTEN	HighConfNDD	4.0	0	1	0	0
chr10	91921770	91925770	BTAF1	HighConfNDD	4.0	2	0	0	0
chr10	92824831	92828831	EXOC6	HighConfNDD	4.0	3	0	0	0
chr10	93755840	93759840	LGI1	HighConfNDD	4.0	0	0	0	0
chr10	93891973	93895973	SLC35G1	HighConfNDD	4.0	1	0	0	0
chr10	100994618	100998618	LZTS2	HighConfNDD	4.0	1	0	0	0
chr10	101352033	101356033	BTRC	HighConfNDD	4.0	2	1	0	0
chr10	102118368	102122368	LDB1	HighConfNDD	4.0	0	1	0	0
chr10	102852272	102856272	BORCS7-ASMT	HighConfNDD	4.0	9	1	0	0
chr10	104639290	104643290	SORCS3	HighConfNDD	4.0	0	0	0	0
chr10	110565684	110569684	SMC3	HighConfNDD	4.0	4	0	0	0
chr10	112948247	112952247	TCF7L2	HighConfNDD	4.0	0	0	0	0
chr10	126903409	126907409	DOCK1	HighConfNDD	4.0	0	0	0	0
chr10	129971053	129975053	EBF3	HighConfNDD	4.0	0	0	0	0
chr11	535321	539321	HRAS	HighConfNDD	4.0	2	0	0	0
chr11	574470	578470	PHRF1	HighConfNDD	4.0	0	0	0	0
chr11	705118	709118	DEAF1	HighConfNDD	4.0	0	1	0	0
chr11	796281	800281	SLC25A22	HighConfNDD	4.0	1	0	0	0
chr11	840812	844812	TSPAN4	HighConfNDD	4.0	3	0	0	0
chr11	1387899	1391899	BRSK2	HighConfNDD	4.0	0	0	0	0
chr11	1762573	1766573	CTSD	HighConfNDD	4.0	3	0	0	0
chr11	4543191	4547191	OR52M1	HighConfNDD	4.0	0	0	0	0
chr11	6417414	6421414	APBB1	HighConfNDD	4.0	2	0	0	0
chr11	6617448	6621448	TPP1	HighConfNDD	4.0	0	0	0	0
chr11	17732774	17736774	KCNC1	HighConfNDD	4.0	0	0	0	0
chr11	19348724	19352724	NAV2	HighConfNDD	4.0	0	0	0	0
chr11	22623509	22627509	GAS2	HighConfNDD	4.0	3	0	0	0
chr11	31507755	31511755	ELP4	HighConfNDD	4.0	0	0	0	0
chr11	34049731	34053731	CAPRIN1	HighConfNDD	4.0	1	0	0	0
chr11	41457773	41461773	LRRC4C	HighConfNDD	4.0	0	0	1	0
chr11	46119454	46123454	PHF21A	HighConfNDD	4.0	0	0	0	0
chr11	57333892	57337892	SSRP1	HighConfNDD	4.0	2	0	0	0
chr11	57751243	57755243	CTNND1	HighConfNDD	4.0	5	0	0	0
chr11	61428031	61432031	CPSF7	HighConfNDD	4.0	5	0	0	0
chr11	61678391	61682391	DAGLA	HighConfNDD	4.0	1	0	0	0
chr11	62554235	62558235	AHNAK	HighConfNDD	4.0	5	0	0	0
chr11	62725384	62729384	HNRNPUL2-BSCL2	HighConfNDD	4.0	2	0	0	0
chr11	62725457	62729457	HNRNPUL2	HighConfNDD	4.0	2	0	0	0
chr11	63367785	63371785	SLC22A9	HighConfNDD	4.0	0	0	1	0
chr11	63836928	63840928	MARK2	HighConfNDD	4.0	0	0	0	0
chr11	64721197	64725197	NRXN2	HighConfNDD	4.0	0	0	0	0
chr11	64776786	64780786	SF1	HighConfNDD	4.0	2	0	0	0
chr11	65259913	65263913	POLA2	HighConfNDD	4.0	5	0	0	0
chr11	65593996	65597996	KCNK7	HighConfNDD	4.0	3	0	0	1
chr11	66068272	66072272	PACS1	HighConfNDD	4.0	0	0	0	0
chr11	66478013	66482013	DPP3	HighConfNDD	4.0	2	0	0	0
chr11	66566879	66570879	CTSF	HighConfNDD	4.0	4	0	0	0
chr11	68211852	68215852	KMT5B	HighConfNDD	4.0	0	1	0	0
chr11	70268690	70272690	PPFIA1	HighConfNDD	4.0	3	1	0	0
chr11	71250577	71254577	SHANK2	HighConfNDD	4.0	0	0	0	0
chr11	71450868	71454868	DHCR7	HighConfNDD	4.0	2	0	0	0
chr11	76442923	76446923	EMSY	HighConfNDD	4.0	1	0	0	0
chr11	85626335	85630335	DLG2	HighConfNDD	4.0	0	0	0	0
chr11	89063982	89067982	GRM5	HighConfNDD	4.0	0	0	0	0
chr11	99018949	99022949	CNTN5	HighConfNDD	4.0	0	0	0	0
chr11	101870562	101874562	TRPC6	HighConfNDD	4.0	1	0	0	0
chr11	107016476	107020476	GUCY1A2	HighConfNDD	4.0	0	0	0	0
chr11	111764389	111768389	PPP2R1B	HighConfNDD	4.0	1	0	0	0
chr11	111925144	111929144	DIXDC1	HighConfNDD	4.0	4	0	0	0
chr11	113473691	113477691	DRD2	HighConfNDD	4.0	0	0	0	0
chr11	113973075	113977075	HTR3A	HighConfNDD	4.0	2	0	0	0
chr11	114057041	114061041	ZBTB16	HighConfNDD	4.0	0	0	0	0
chr11	115502957	115506957	CADM1	HighConfNDD	4.0	1	0	0	0
chr11	117142284	117146284	PAFAH1B2	HighConfNDD	4.0	1	0	0	0
chr11	118434456	118438456	KMT2A	HighConfNDD	4.0	0	0	0	0
chr11	119344705	119348705	MFRP	HighConfNDD	4.0	1	0	0	0
chr11	120509746	120513746	GRIK4	HighConfNDD	4.0	0	0	0	0
chr11	121022072	121026072	TBCEL	HighConfNDD	4.0	0	0	0	0
chr11	121022125	121026125	TBCEL-TECTA	HighConfNDD	4.0	0	0	0	0
chr11	121099243	121103243	TECTA	HighConfNDD	4.0	0	1	0	0
chr11	124798706	124802706	MSANTD2	HighConfNDD	4.0	1	0	0	0
chr11	126267144	126271144	SRPRA	HighConfNDD	4.0	1	0	0	0
chr11	127001460	127005460	KIRREL3	HighConfNDD	4.0	0	0	0	0
chr11	129277324	129281324	ARHGAP32	HighConfNDD	4.0	0	0	0	0
chr12	387320	391320	KDM5A	HighConfNDD	4.0	1	0	0	0
chr12	1968772	1972772	CACNA1C	HighConfNDD	4.0	0	0	0	0
chr12	4718400	4722400	GALNT8	HighConfNDD	4.0	1	0	0	0
chr12	4907905	4911905	KCNA1	HighConfNDD	4.0	1	0	0	0
chr12	10672318	10676318	STYK1	HighConfNDD	4.0	3	0	0	0
chr12	13980002	13984002	GRIN2B	HighConfNDD	4.0	0	0	0	0
chr12	20808702	20812702	SLCO1B3	HighConfNDD	4.0	2	0	0	0
chr12	20813674	20817674	SLCO1B3-SLCO1B7	HighConfNDD	4.0	2	0	0	1
chr12	24560544	24564544	SOX5	HighConfNDD	4.0	0	0	0	0
chr12	28131249	28135249	CCDC91	HighConfNDD	4.0	0	0	0	0
chr12	42588355	42592355	PRICKLE1	HighConfNDD	4.0	1	0	0	0
chr12	45727706	45731706	ARID2	HighConfNDD	4.0	0	0	0	0
chr12	47941048	47945048	VDR	HighConfNDD	4.0	0	0	0	0
chr12	48955487	48959487	ARF3	HighConfNDD	4.0	3	0	0	0
chr12	48976322	48980322	WNT1	HighConfNDD	4.0	1	0	0	0
chr12	51588266	51592266	SCN8A	HighConfNDD	4.0	2	1	0	0
chr12	56187567	56191567	SMARCC2	HighConfNDD	4.0	2	1	0	1
chr12	57126483	57130483	LRP1	HighConfNDD	4.0	0	0	0	0
chr12	57518710	57522710	MBD6	HighConfNDD	4.0	2	0	0	0
chr12	57740157	57744157	AGAP2	HighConfNDD	4.0	2	0	0	0
chr12	62258338	62262338	USP15	HighConfNDD	4.0	1	0	0	0
chr12	63149201	63153201	AVPR1A	HighConfNDD	4.0	0	0	0	0
chr12	65167583	65171583	LEMD3	HighConfNDD	4.0	1	0	0	0
chr12	67067162	67071162	GRIP1	HighConfNDD	4.0	0	0	0	0
chr12	70635440	70639440	PTPRB	HighConfNDD	4.0	0	0	0	0
chr12	75509636	75513636	KRR1	HighConfNDD	4.0	1	1	0	0
chr12	77322641	77326641	NAV3	HighConfNDD	4.0	0	1	0	0
chr12	88140099	88144099	CEP290	HighConfNDD	4.0	0	1	0	0
chr12	99982936	99986936	ANKS1B	HighConfNDD	4.0	0	1	0	0
chr12	102956410	102960410	PAH	HighConfNDD	4.0	0	0	0	0
chr12	106136954	106140954	NUAK1	HighConfNDD	4.0	0	0	0	0
chr12	111032165	111036165	CUX2	HighConfNDD	4.0	0	0	0	0
chr12	112380439	112384439	HECTD4	HighConfNDD	4.0	4	0	0	0
chr12	112416351	112420351	PTPN11	HighConfNDD	4.0	9	0	0	0
chr12	116275693	116279693	MED13L	HighConfNDD	4.0	2	0	0	0
chr12	119987236	119991236	BICDL1	HighConfNDD	4.0	1	0	0	0
chr12	121580279	121584279	KDM2B	HighConfNDD	4.0	1	0	0	0
chr12	121802009	121806009	SETD1B	HighConfNDD	4.0	0	0	0	0
chr12	122750824	122754824	DENR	HighConfNDD	4.0	1	0	0	0
chr12	123710353	123714353	ATP6V0A2	HighConfNDD	4.0	3	1	0	0
chr12	123760188	123764188	DNAH10	HighConfNDD	4.0	3	0	0	0
chr12	131947942	131951942	EP400	HighConfNDD	4.0	10	0	0	0
chr13	19956677	19960677	ZMYM2	HighConfNDD	4.0	0	0	0	0
chr13	23431763	23435763	SACS	HighConfNDD	4.0	3	0	0	0
chr13	30305551	30309551	KATNAL1	HighConfNDD	4.0	0	0	0	0
chr13	32313086	32317086	BRCA2	HighConfNDD	4.0	3	0	0	0
chr13	34940270	34944270	NBEA	HighConfNDD	4.0	0	0	0	0
chr13	49442274	49446274	SETDB2	HighConfNDD	4.0	3	0	0	0
chr13	51452264	51456264	INTS6	HighConfNDD	4.0	0	0	0	0
chr13	67228445	67232445	PCDH9	HighConfNDD	4.0	0	0	0	0
chr13	76988660	76992660	CLN5	HighConfNDD	4.0	2	0	0	0
chr13	77325094	77329094	MYCBP2	HighConfNDD	4.0	0	1	0	0
chr13	80339126	80343126	SPRY2	HighConfNDD	4.0	0	0	0	0
chr13	87669371	87673371	SLITRK5	HighConfNDD	4.0	0	0	0	0
chr13	93224807	93228807	GPC6	HighConfNDD	4.0	0	0	0	0
chr13	108594152	108598152	MYO16	HighConfNDD	4.0	0	2	0	0
chr13	114312482	114316482	CHAMP1	HighConfNDD	4.0	5	1	0	0
chr14	21382019	21386019	SUPT16H	HighConfNDD	4.0	0	1	0	0
chr14	21454126	21458126	CHD8	HighConfNDD	4.0	5	0	0	0
chr14	22827820	22831820	SLC7A7	HighConfNDD	4.0	4	0	0	0
chr14	28762329	28766329	FOXG1	HighConfNDD	4.0	0	0	0	0
chr14	32074114	32078114	ARHGAP5	HighConfNDD	4.0	0	0	0	0
chr14	39430466	39434466	FBXO33	HighConfNDD	4.0	0	0	0	0
chr14	41604876	41608876	LRFN5	HighConfNDD	4.0	0	0	0	0
chr14	45082107	45086107	PRPF39	HighConfNDD	4.0	1	1	0	0
chr14	47673605	47677605	MDGA2	HighConfNDD	4.0	0	0	0	0
chr14	50229578	50233578	SOS2	HighConfNDD	4.0	1	0	0	2
chr14	57266905	57270905	EXOC5	HighConfNDD	4.0	1	0	0	0
chr14	63100037	63104037	KCNH5	HighConfNDD	4.0	1	0	0	0
chr14	64336112	64340112	ESR2	HighConfNDD	4.0	2	0	0	0
chr14	66505407	66509407	GPHN	HighConfNDD	4.0	1	0	0	0
chr14	67814590	67818590	ZFYVE26	HighConfNDD	4.0	3	0	0	0
chr14	76308712	76312712	ESRRB	HighConfNDD	4.0	0	2	0	0
chr14	76759468	76763468	VASH1	HighConfNDD	4.0	0	0	0	0
chr14	77026708	77030708	IRF2BPL	HighConfNDD	4.0	2	0	0	0
chr14	78168373	78172373	NRXN3	HighConfNDD	4.0	0	0	0	0
chr14	91415844	91419844	CCDC88C	HighConfNDD	4.0	0	0	0	0
chr14	93331219	93335219	UNC79	HighConfNDD	4.0	1	0	0	0
chr14	100236298	100240298	YY1	HighConfNDD	4.0	2	0	0	0
chr14	101962573	101966573	DYNC1H1	HighConfNDD	4.0	1	0	0	0
chr14	103055549	103059549	CDC42BPB	HighConfNDD	4.0	1	0	0	0
chr15	22771063	22775063	NIPA1	HighConfNDD	4.0	1	0	0	0
chr15	22836644	22840644	NIPA2	HighConfNDD	4.0	7	1	0	0
chr15	22979063	22983063	CYFIP1	HighConfNDD	4.0	4	0	0	0
chr15	23037572	23041572	TUBGCP5	HighConfNDD	4.0	2	1	0	0
chr15	23645867	23649867	MAGEL2	HighConfNDD	4.0	0	0	0	0
chr15	25437051	25441051	UBE3A	HighConfNDD	4.0	1	1	0	0
chr15	25863184	25867184	ATP10A	HighConfNDD	4.0	0	0	0	0
chr15	26937539	26941539	GABRB3	HighConfNDD	4.0	0	1	0	0
chr15	26969181	26973181	GABRG3	HighConfNDD	4.0	2	0	0	0
chr15	28882483	28886483	APBA2	HighConfNDD	4.0	3	0	0	0
chr15	29267822	29271822	NSMCE3	HighConfNDD	4.0	0	1	0	0
chr15	30622494	30626494	ARHGAP11B	HighConfNDD	4.0	3	0	0	0
chr15	30888559	30892559	FAN1	HighConfNDD	4.0	2	0	0	0
chr15	31159160	31163160	TRPM1	HighConfNDD	4.0	1	0	0	0
chr15	31868789	31872789	OTUD7A	HighConfNDD	4.0	0	1	0	0
chr15	31921438	31925438	CHRNA7	HighConfNDD	4.0	0	0	0	0
chr15	37099299	37103299	MEIS2	HighConfNDD	4.0	0	1	0	0
chr15	39579079	39583079	THBS1	HighConfNDD	4.0	0	0	0	0
chr15	40767980	40771980	C15orf62	HighConfNDD	4.0	0	0	0	0
chr15	43104113	43108113	UBR1	HighConfNDD	4.0	3	0	0	0
chr15	43508958	43512958	MAP1A	HighConfNDD	4.0	1	0	0	0
chr15	44954687	44958687	TERB2	HighConfNDD	4.0	3	0	0	0
chr15	48643721	48647721	FBN1	HighConfNDD	4.0	1	0	0	0
chr15	51620833	51624833	DMXL2	HighConfNDD	4.0	0	0	0	0
chr15	51969778	51973778	LEO1	HighConfNDD	4.0	8	0	0	0
chr15	52293804	52297804	MYO5C	HighConfNDD	4.0	1	1	1	0
chr15	52527132	52531132	MYO5A	HighConfNDD	4.0	1	0	0	0
chr15	57373967	57377967	CGNL1	HighConfNDD	4.0	3	0	0	0
chr15	59370871	59374871	MYO1E	HighConfNDD	4.0	1	0	0	0
chr15	63831948	63835948	HERC1	HighConfNDD	4.0	1	0	0	0
chr15	66251756	66255756	MEGF11	HighConfNDD	4.0	0	0	0	0
chr15	66502959	66506959	ZWILCH	HighConfNDD	4.0	3	0	0	0
chr15	68255211	68259211	CLN6	HighConfNDD	4.0	2	0	0	0
chr15	68818897	68822897	ANP32A	HighConfNDD	4.0	0	0	0	0
chr15	70096176	70100176	TLE3	HighConfNDD	4.0	0	0	0	0
chr15	72318157	72322157	CELF6	HighConfNDD	4.0	3	0	0	0
chr15	72684186	72688186	BBS4	HighConfNDD	4.0	7	0	0	0
chr15	73049710	73053710	NEO1	HighConfNDD	4.0	0	0	0	0
chr15	73681966	73685966	CD276	HighConfNDD	4.0	1	0	0	0
chr15	75453842	75457842	SIN3A	HighConfNDD	4.0	1	0	0	0
chr15	78129535	78133535	CIB2	HighConfNDD	4.0	2	0	0	0
chr15	80402350	80406350	ARNT2	HighConfNDD	4.0	0	0	0	0
chr15	82708112	82712112	AP3B2	HighConfNDD	4.0	0	0	0	0
chr15	88254791	88258791	NTRK3	HighConfNDD	4.0	0	0	0	0
chr15	90350284	90354284	ZNF774	HighConfNDD	4.0	4	1	0	0
chr15	92391881	92395881	ST8SIA2	HighConfNDD	4.0	0	0	0	0
chr15	92884203	92888203	CHD2	HighConfNDD	4.0	0	2	0	0
chr16	136677	140677	NPRL3	HighConfNDD	4.0	6	0	0	0
chr16	634366	638366	METTL26	HighConfNDD	4.0	0	0	0	0
chr16	1151103	1155103	CACNA1H	HighConfNDD	4.0	1	0	0	0
chr16	1704166	1708166	MAPK8IP3	HighConfNDD	4.0	3	0	0	0
chr16	2045967	2049967	TSC2	HighConfNDD	4.0	4	0	0	0
chr16	2153698	2157698	TRAF7	HighConfNDD	4.0	1	0	0	0
chr16	2194605	2198605	CASKIN1	HighConfNDD	4.0	1	0	0	0
chr16	2750626	2754626	SRRM2	HighConfNDD	4.0	4	0	0	0
chr16	3878713	3882713	CREBBP	HighConfNDD	4.0	1	0	0	0
chr16	4800880	4804880	ROGDI	HighConfNDD	4.0	0	1	0	0
chr16	5237802	5241802	RBFOX1	HighConfNDD	4.0	0	0	0	0
chr16	8672596	8676596	ABAT	HighConfNDD	4.0	1	0	0	0
chr16	8973328	8977328	USP7	HighConfNDD	4.0	4	0	0	0
chr16	10181337	10185337	GRIN2A	HighConfNDD	4.0	1	0	0	0
chr16	14069319	14073319	MRTFB	HighConfNDD	4.0	2	0	0	0
chr16	19165971	19169971	SYT17	HighConfNDD	4.0	3	0	0	0
chr16	21157441	21161441	DNAH3	HighConfNDD	4.0	1	0	0	1
chr16	23833983	23837983	PRKCB	HighConfNDD	4.0	0	0	0	0
chr16	28493575	28497575	CLN3	HighConfNDD	4.0	1	0	0	1
chr16	29809382	29813382	PRRT2	HighConfNDD	4.0	0	0	0	0
chr16	29897550	29901550	SEZ6L2	HighConfNDD	4.0	0	0	0	0
chr16	29924236	29928236	KCTD13	HighConfNDD	4.0	3	0	0	0
chr16	29971868	29975868	TAOK2	HighConfNDD	4.0	0	0	0	0
chr16	30121506	30125506	MAPK3	HighConfNDD	4.0	5	1	0	0
chr16	30180827	30184827	CORO1A	HighConfNDD	4.0	3	1	0	0
chr16	30696209	30700209	SRCAP	HighConfNDD	4.0	4	0	0	0
chr16	30955294	30959294	SETD1A	HighConfNDD	4.0	3	0	0	1
chr16	31008638	31012638	STX1B	HighConfNDD	4.0	3	0	0	0
chr16	31104107	31108107	BCKDK	HighConfNDD	4.0	4	1	0	0
chr16	56187660	56191660	GNAO1	HighConfNDD	4.0	1	0	0	0
chr16	58627885	58631885	CNOT1	HighConfNDD	4.0	3	0	0	0
chr16	62035035	62039035	CDH8	HighConfNDD	4.0	0	0	0	0
chr16	65124112	65128112	CDH11	HighConfNDD	4.0	0	0	0	0
chr16	67560467	67564467	CTCF	HighConfNDD	4.0	1	0	0	1
chr16	69406571	69410571	TERF2	HighConfNDD	4.0	6	0	0	1
chr16	70521791	70525791	SF3B3	HighConfNDD	4.0	7	0	0	0
chr16	71228722	71232722	HYDIN	HighConfNDD	4.0	0	1	0	0
chr16	76275278	76279278	CNTNAP4	HighConfNDD	4.0	1	0	0	0
chr16	78097400	78101400	WWOX	HighConfNDD	4.0	5	0	0	0
chr16	81442808	81446808	CMIP	HighConfNDD	4.0	0	0	0	0
chr16	82624965	82628965	CDH13	HighConfNDD	4.0	0	0	0	0
chr16	84185070	84189070	TAF1C	HighConfNDD	4.0	6	0	0	0
chr16	87867507	87871507	SLC7A5	HighConfNDD	4.0	1	0	0	0
chr16	89488561	89492561	ANKRD11	HighConfNDD	4.0	2	1	0	0
chr16	89655738	89659738	CHMP1A	HighConfNDD	4.0	6	0	0	1
chr17	1398222	1402222	YWHAE	HighConfNDD	4.0	6	0	0	0
chr17	2301785	2305785	SMG6	HighConfNDD	4.0	6	0	0	0
chr17	2399104	2403104	MNT	HighConfNDD	4.0	0	0	0	0
chr17	3694194	3698194	P2RX5-TAX1BP3	HighConfNDD	4.0	2	0	0	0
chr17	3694240	3698240	P2RX5	HighConfNDD	4.0	2	0	0	0
chr17	4985675	4989675	CAMTA2	HighConfNDD	4.0	1	1	0	0
chr17	7217836	7221836	DLG4	HighConfNDD	4.0	0	0	0	0
chr17	7402874	7406874	NLGN2	HighConfNDD	4.0	0	0	0	0
chr17	7832217	7836217	KDM6B	HighConfNDD	4.0	1	0	0	0
chr17	7882796	7886796	CHD3	HighConfNDD	4.0	0	0	0	0
chr17	8154506	8158506	PER1	HighConfNDD	4.0	5	0	0	0
chr17	8629376	8633376	MYH10	HighConfNDD	4.0	1	1	0	0
chr17	10467559	10471559	MYH4	HighConfNDD	4.0	0	0	0	0
chr17	11995475	11999475	ZNF18	HighConfNDD	4.0	2	0	0	0
