ndd_gene	control_gene	ndd_chrom	ndd_start	ndd_end	control_chrom	control_start	control_end	ndd_loeuf	control_loeuf	ndd_brain_log	control_brain_log	ndd_gc	control_gc
QRICH1	BSN	chr3	49092363	49096363	chr3	49552477	49556477	0.261	0.271	1.841346954583389	1.8280157095347633	0.5475	0.54875
GPX1	MYL6	chr3	49356605	49360605	chr12	56156346	56160346	1.38	1.35	2.1864703767454428	2.2291389549386844	0.52925	0.53425
AMT	APLNR	chr3	49420685	49424685	chr11	57235250	57239250	0.805	0.81	1.8958996762555056	1.9093120712222298	0.53325	0.53625
NPRL2	POLR2B	chr3	50348826	50352826	chr4	56975722	56979722	0.564	0.568	1.839887637094807	1.8841737706348856	0.562	0.55975
PHF7	EDN3	chr3	52408660	52412660	chr20	59298443	59302443	0.682	0.696	0.7566657700784138	0.7248801835394988	0.5705	0.56775
CACNA1D	CCNA2	chr3	53326963	53330963	chr4	121821883	121825883	0.253	0.183	0.8553767903510834	0.9376156724916338	0.39575	0.41425
CACNA2D3	DLK1	chr3	54120552	54124552	chr14	100723705	100727705	0.454	0.461	1.371642229460931	1.336669825515242	0.61475	0.61275
ASB14	TYRP1	chr3	57290685	57294685	chr9	12683439	12687439	1.35	1.398	0.43261016839762706	0.3425707105283159	0.3615	0.35725
FHIT	ERCC8	chr3	61249459	61253459	chr5	60943073	60947073	1.57	1.608	0.8105497194579723	0.7866478035854083	0.45725	0.45275
FEZF2	BRPF1	chr3	62372324	62376324	chr3	9729729	9733729	0.227	0.205	1.3390477673518406	1.3501297345340924	0.544	0.55175
CADPS	BMI1	chr3	62873416	62877416	chr10	22319099	22323099	0.445	0.413	1.673987081949959	1.7123036431843497	0.555	0.55425
PSMD6	FAM171B	chr3	64022010	64026010	chr2	186692060	186696060	0.327	0.367	1.7166509615283845	1.7183588381278394	0.459	0.46025
PRICKLE2	SMAD3	chr3	64443476	64447476	chr15	67061763	67065763	0.34	0.373	1.2259860467322226	1.203924506153556	0.525	0.52225
FOXP1	TRAPPC10	chr3	71581978	71585978	chr21	44010309	44014309	0.279	0.273	0.9805128570323896	0.938322546751424	0.56175	0.555
CNTN3	APAF1	chr3	74612659	74616659	chr12	98643149	98647149	0.668	0.664	1.0053602869383376	1.0220417471686105	0.50425	0.50525
GBE1	TMEM218	chr3	81759645	81763645	chr11	125109763	125113763	1.211	1.214	1.0207539592394907	1.0067457832597486	0.447	0.44875
CADM2	MAPK8	chr3	84956989	84960989	chr10	48304639	48308639	0.516	0.532	1.5729389474598072	1.5206249993026801	0.49525	0.49575
DRD3	CD163	chr3	114197407	114201407	chr12	7501893	7505893	0.604	0.56	0.5960756293057704	0.7283919333186248	0.345	0.35525
ZBTB20	FAT4	chr3	115145292	115149292	chr4	125312918	125316918	0.3	0.317	0.37604562504472494	0.29568450852281486	0.4975	0.50375
