ndd_gene	matched_hk_gene	ndd_gc	hk_gc	ndd_genedens	hk_genedens	ndd_recomb	hk_recomb	ndd_alu_density	hk_alu_density
SZT2	CKAP5	0.482	0.481	16.0	16.0	0.07	0.068	0.5	1.25
POMGNT1	RTL8C	0.502	0.503	20.0	20.0	0.282	0.362	1.0	0.25
AGBL4	EIF1AX	0.475	0.481	2.0	4.0	0.038	0.118	0.0	0.5
SCP2	WHAMM	0.504	0.507	13.0	14.0	0.212	0.258	1.0	0.25
CPT2	BLOC1S2	0.501	0.503	12.0	13.0	2.029	1.946	0.0	1.0
GLIS1	AKR7A2	0.601	0.593	15.0	15.0	1.586	1.313	0.0	0.25
NFIA	DMAC1	0.388	0.382	0.0	0.0	1.718	1.757	0.0	0.25
PATJ	YPEL5	0.522	0.536	2.0	3.0	1.388	1.192	1.0	0.5
DOCK7	GORASP2	0.496	0.5	5.0	4.0	0.213	0.248	0.75	0.25
SRSF11	ARL14EP	0.421	0.424	3.0	3.0	0.06	0.117	0.25	0.0
NEGR1	FDX1	0.487	0.489	0.0	3.0	0.28	0.178	0.0	0.5
PTBP2	SS18	0.488	0.495	0.0	2.0	0.083	0.037	0.5	0.25
DPYD	OSTC	0.349	0.385	0.0	3.0	0.11	0.188	0.25	0.0
NTNG1	DUSP22	0.534	0.54	1.0	3.0	1.624	1.905	0.0	0.25
GSTM1	ATG101	0.532	0.528	25.0	23.0	1.56	1.566	0.0	1.0
KCNA2	COPS4	0.476	0.474	10.0	11.0	1.108	1.151	0.5	1.25
ADORA3	NDUFB6	0.42	0.402	15.0	9.0	2.17	2.243	0.0	0.0
KCND3	CERK	0.626	0.634	7.0	8.0	2.316	2.51	0.0	0.5
TRIM33	TOR3A	0.545	0.544	8.0	7.0	0.195	0.222	0.5	0.5
AMPD1	RAB11A	0.386	0.392	9.0	8.0	0.148	0.023	0.75	2.0
CSDE1	MRPS18C	0.446	0.438	9.0	8.0	0.253	0.206	0.5	0.5
SLC22A15	MPHOSPH8	0.465	0.462	5.0	5.0	0.154	0.132	0.25	0.5
ATP1A1	JAK1	0.565	0.561	5.0	5.0	1.302	1.139	0.25	0.0
APH1A	RPL29	0.52	0.517	34.0	34.0	0.2	0.327	1.0	0.75
SETDB1	RPS27	0.478	0.474	33.0	33.0	0.055	0.087	1.75	1.5
POGZ	CHID1	0.532	0.53	35.0	36.0	0.493	0.435	1.0	2.25
ILF2	VPS52	0.475	0.482	35.0	37.0	0.679	0.474	1.75	1.0
UBAP2L	C1orf43	0.509	0.509	25.0	25.0	0.129	0.129	0.0	0.0
CHRNB2	TMEM101	0.534	0.524	27.0	26.0	0.456	0.373	0.25	0.0
ASH1L	PTGES3	0.536	0.535	34.0	35.0	0.03	0.058	0.75	1.5
IQGAP3	ERAL1	0.49	0.489	34.0	33.0	0.473	0.489	0.5	1.25
NTRK1	PTTG1IP	0.578	0.586	24.0	24.0	3.398	3.225	0.25	0.0
PYHIN1	ZBTB38	0.379	0.386	20.0	7.0	3.385	4.132	0.0	0.25
FCRL6	PIP4P1	0.452	0.496	25.0	34.0	6.498	6.344	0.25	0.5
KCNJ10	TATDN2	0.53	0.534	26.0	25.0	0.806	0.929	0.25	1.25
ATP1A2	CCAR2	0.548	0.546	26.0	23.0	1.76	1.718	0.0	0.0
PBX1	NDUFB4	0.4	0.433	0.0	7.0	5.036	3.89	1.5	0.5
KLHL20	SSBP1	0.405	0.409	13.0	13.0	0.063	0.237	0.0	0.25
ASTN1	TNKS	0.454	0.448	1.0	2.0	0.942	1.001	0.0	0.25
CACNA1E	FAM20B	0.53	0.525	4.0	6.0	2.207	2.041	0.0	0.0
PTGS2	COX7A2L	0.396	0.403	5.0	6.0	0.134	0.171	0.0	0.25
ASPM	GOLGB1	0.441	0.441	10.0	10.0	0.104	0.115	0.5	0.0
PTPRC	COPS5	0.334	0.352	2.0	9.0	0.546	0.008	0.0	1.0
KIF14	PNISR	0.432	0.433	7.0	7.0	0.27	0.316	1.0	0.25
KDM5B	SFPQ	0.55	0.553	15.0	16.0	0.91	0.891	0.0	1.25
ZC3H11A	IPO7	0.456	0.452	14.0	12.0	1.226	1.169	0.5	1.0
CNTN2	HNRNPAB	0.576	0.584	11.0	11.0	2.634	2.835	0.0	1.0
RBBP5	PDZD11	0.453	0.452	12.0	11.0	0.194	0.238	0.75	0.25
AVPR1B	CTSB	0.558	0.562	15.0	15.0	2.144	1.941	0.75	1.25
RASSF5	HSP90AB1	0.585	0.578	16.0	15.0	2.146	2.019	0.0	0.5
HSD11B1	ROCK2	0.399	0.41	9.0	7.0	3.195	2.953	0.0	0.5
USH2A	PREP	0.39	0.399	0.0	2.0	1.334	1.077	0.25	0.25
MARK1	RPS29	0.524	0.525	9.0	9.0	0.187	0.212	0.0	0.75
NUP133	NUDT15	0.458	0.459	6.0	6.0	0.094	0.139	0.5	0.75
TSNAX-DISC1	TSNAX-DISC1	0.466	0.466	10.0	10.0	0.326	0.326	0.25	0.25
DISC1	MRPL57	0.504	0.504	9.0	9.0	0.775	0.8	0.75	1.5
CHRM3	MYL12A	0.48	0.488	0.0	5.0	2.566	2.45	0.0	0.0
RGS7	GTF3A	0.518	0.519	6.0	8.0	3.175	2.941	0.0	0.5
ADSS2	LEPROT	0.497	0.498	7.0	5.0	2.124	2.058	0.0	0.0
HNRNPU	C1orf174	0.54	0.555	7.0	10.0	5.146	4.671	0.0	0.75
OR1C1	TCEAL4	0.341	0.38	30.0	18.0	0.499	0.062	0.25	0.5
OR2M4	NACA	0.389	0.428	38.0	33.0	0.326	0.12	0.5	2.25
OR2T10	ERVK3-1	0.377	0.457	28.0	36.0	1.882	2.431	0.25	0.5
ZMYND11	TMEM167A	0.424	0.418	1.0	2.0	0.306	0.234	1.0	0.25
DIP2C	NINJ1	0.654	0.63	5.0	10.0	2.403	2.406	0.0	0.25
CELF2	FAM98A	0.442	0.442	0.0	1.0	0.616	0.484	0.5	0.25
UPF2	LARP1	0.511	0.505	8.0	8.0	1.341	1.371	0.5	0.75
CACNB2	DNAJB6	0.528	0.527	4.0	4.0	1.041	0.987	0.75	1.75
MKX	THOC7	0.556	0.558	3.0	4.0	0.184	0.086	0.0	0.5
WAC	CBX3	0.565	0.563	2.0	3.0	0.319	0.51	0.75	0.0
HNRNPF	SRM	0.597	0.599	8.0	9.0	0.117	0.45	1.25	1.0
WDFY4	NUBP1	0.492	0.484	6.0	7.0	3.077	3.245	0.75	0.75
PCDH15	COX7C	0.438	0.436	0.0	0.0	0.309	0.373	0.0	0.5
ANK3	UBL3	0.486	0.49	2.0	2.0	0.728	0.781	0.0	0.0
REEP3	YIPF6	0.488	0.49	2.0	3.0	0.067	0.039	0.25	1.0
JMJD1C	TRAM1	0.501	0.511	2.0	3.0	0.067	0.086	0.25	0.25
CTNNA3	ARL6IP5	0.458	0.464	5.0	6.0	0.398	0.436	0.5	0.25
ADK	MFSD14A	0.469	0.464	12.0	11.0	0.07	0.074	0.25	0.5
KCNMA1	ULK1	0.632	0.638	3.0	7.0	2.065	1.602	0.0	0.0
ZMIZ1	NTMT1	0.682	0.633	4.0	14.0	4.433	3.247	0.0	0.25
DYDC2	MNAT1	0.405	0.399	9.0	8.0	0.253	0.105	1.25	0.25
DYDC1	RPL36AL	0.517	0.518	9.0	10.0	0.227	0.215	0.25	0.25
GRID1	TENT4A	0.662	0.647	5.0	4.0	0.81	0.877	0.0	0.0
PTEN	MAP1LC3B	0.582	0.59	5.0	7.0	0.93	0.914	0.0	1.5
BTAF1	MRPS9	0.439	0.442	5.0	5.0	0.41	0.414	0.5	0.25
EXOC6	BDH2	0.417	0.42	5.0	6.0	0.43	0.456	0.75	0.0
LGI1	TTC1	0.432	0.434	8.0	8.0	2.192	2.294	0.0	1.0
SLC35G1	CEBPZ	0.484	0.482	9.0	9.0	0.364	0.26	0.25	0.5
LZTS2	CLPTM1L	0.6	0.589	15.0	12.0	2.525	2.203	0.25	0.25
BTRC	GNL2	0.456	0.452	17.0	17.0	0.855	0.704	0.5	0.5
LDB1	STRN4	0.596	0.601	20.0	20.0	0.561	0.603	0.0	0.75
BORCS7-ASMT	BORCS7-ASMT	0.44	0.44	20.0	20.0	0.25	0.25	2.25	2.25
SORCS3	LARP4B	0.636	0.607	5.0	5.0	0.531	0.314	0.0	0.25
SMC3	TM9SF3	0.496	0.496	7.0	7.0	0.782	0.747	1.0	0.0
TCF7L2	VAPA	0.524	0.544	0.0	4.0	2.423	2.383	0.0	0.25
DOCK1	STK24	0.623	0.584	2.0	3.0	3.001	2.886	0.0	0.0
EBF3	PCGF5	0.578	0.59	2.0	5.0	3.402	3.382	0.0	0.0
HRAS	C11orf68	0.662	0.654	46.0	42.0	0.508	0.371	0.5	0.0
PHRF1	GATD1	0.643	0.64	47.0	43.0	0.556	0.625	0.0	0.75
DEAF1	USF2	0.692	0.7	46.0	43.0	0.89	0.877	0.0	0.0
SLC25A22	RHOT2	0.657	0.658	41.0	43.0	0.81	0.86	0.25	0.0
TSPAN4	POLR2L	0.667	0.655	37.0	37.0	0.556	0.557	0.75	0.75
BRSK2	KLHL21	0.697	0.67	21.0	19.0	0.746	0.953	0.0	0.25
CTSD	TAX1BP3	0.58	0.581	23.0	26.0	1.79	1.722	0.75	0.75
OR52M1	NGDN	0.423	0.452	29.0	29.0	1.175	1.543	0.0	0.75
APBB1	PSMB6	0.514	0.502	34.0	36.0	4.087	4.326	0.5	1.25
TPP1	GPATCH4	0.484	0.481	32.0	32.0	1.782	1.973	0.0	1.25
KCNC1	CHMP6	0.644	0.592	11.0	10.0	3.15	2.665	0.0	0.75
NAV2	RNF6	0.453	0.447	5.0	3.0	2.11	2.142	0.0	0.25
GAS2	CYCS	0.443	0.44	4.0	4.0	1.457	1.333	0.75	0.25
ELP4	C4orf3	0.387	0.387	5.0	6.0	0.042	0.186	0.0	1.0
CAPRIN1	RMND5A	0.559	0.562	9.0	9.0	0.166	0.092	0.25	0.0
LRRC4C	API5	0.39	0.398	0.0	2.0	0.294	0.368	0.0	1.25
PHF21A	PCID2	0.576	0.578	14.0	13.0	0.325	0.223	0.0	0.0
SSRP1	PSMD2	0.501	0.505	26.0	25.0	0.408	0.504	0.5	1.0
CTNND1	PSMC5	0.509	0.506	29.0	27.0	0.027	0.024	1.25	0.0
CPSF7	SDHAF2	0.498	0.498	26.0	26.0	0.24	0.24	1.25	1.25
DAGLA	MMP24OS	0.575	0.581	25.0	25.0	0.761	0.741	0.25	0.25
AHNAK	UBXN1	0.529	0.521	42.0	42.0	0.584	0.575	1.25	1.5
HNRNPUL2-BSCL2	EEF1G	0.553	0.553	40.0	42.0	0.655	0.637	0.5	0.0
HNRNPUL2	C11orf98	0.548	0.548	40.0	42.0	0.652	0.632	0.5	1.0
SLC22A9	NPIPB3	0.394	0.387	16.0	9.0	1.578	1.615	0.0	0.25
MARK2	UQCR11	0.573	0.577	33.0	35.0	1.149	1.112	0.0	1.5
NRXN2	FBRS	0.617	0.618	47.0	47.0	0.198	0.151	0.0	0.5
SF1	MED29	0.542	0.539	40.0	37.0	2.034	2.168	0.5	1.0
POLA2	FAU	0.518	0.514	44.0	43.0	0.108	0.185	1.25	0.75
KCNK7	PRDX2	0.575	0.573	46.0	46.0	0.487	0.522	0.75	0.75
PACS1	CD2BP2	0.582	0.592	49.0	48.0	0.193	0.077	0.0	0.0
DPP3	THAP11	0.554	0.547	37.0	36.0	0.087	0.017	0.5	0.75
CTSF	CUTA	0.549	0.543	33.0	33.0	0.087	0.076	1.0	0.0
KMT5B	MAFK	0.63	0.63	9.0	10.0	1.636	1.25	0.0	1.0
PPFIA1	RCN1	0.562	0.548	5.0	4.0	1.939	1.969	0.75	0.5
SHANK2	LSM14B	0.62	0.621	7.0	12.0	1.979	1.47	0.0	0.5
DHCR7	FBXW4	0.511	0.509	12.0	13.0	0.379	0.306	0.5	0.25
EMSY	NOL7	0.485	0.486	6.0	6.0	0.388	0.372	0.25	0.25
DLG2	FUBP1	0.44	0.438	7.0	7.0	0.114	0.01	0.0	0.5
GRM5	MRPS14	0.434	0.428	2.0	3.0	0.402	0.364	0.0	0.25
CNTN5	COA6	0.406	0.437	0.0	3.0	2.955	3.012	0.0	0.5
TRPC6	RNF19A	0.416	0.421	6.0	8.0	0.496	0.44	0.25	0.25
GUCY1A2	GOLPH3	0.542	0.545	1.0	3.0	0.42	0.452	0.0	1.25
PPP2R1B	TIMM10	0.455	0.462	26.0	25.0	0.162	0.277	0.25	0.25
DIXDC1	ATP5MF	0.522	0.523	25.0	26.0	0.104	0.055	1.0	2.25
DRD2	HNRNPDL	0.576	0.576	8.0	7.0	1.279	1.464	0.0	0.5
HTR3A	SAR1A	0.482	0.486	12.0	11.0	1.582	1.698	0.5	0.75
ZBTB16	TPRG1L	0.605	0.583	11.0	10.0	4.642	4.461	0.0	0.25
CADM1	ZFAND3	0.556	0.546	0.0	4.0	0.508	0.464	0.25	0.25
PAFAH1B2	ACBD3	0.492	0.488	13.0	13.0	0.214	0.236	0.25	1.0
KMT2A	BTBD6	0.624	0.627	24.0	20.0	0.806	0.815	0.0	0.25
MFRP	UBAC1	0.563	0.559	26.0	25.0	3.668	3.675	0.25	0.5
GRIK4	IRF2	0.629	0.593	5.0	5.0	3.937	3.624	0.0	0.75
TBCEL	BNIP3L	0.497	0.493	4.0	5.0	0.724	0.644	0.0	0.5
TBCEL-TECTA	CCNI	0.491	0.496	4.0	4.0	0.724	0.56	0.0	0.25
TECTA	SEM1	0.382	0.38	4.0	4.0	0.721	0.641	0.0	0.25
MSANTD2	ABCF2	0.52	0.504	23.0	25.0	4.611	4.862	0.25	0.5
SRPRA	KCTD10	0.504	0.503	14.0	14.0	0.198	0.199	0.25	0.5
KIRREL3	RAB12	0.509	0.518	0.0	2.0	2.05	1.946	0.0	0.25
ARHGAP32	ANKRD10	0.552	0.548	4.0	6.0	1.194	1.147	0.0	0.0
KDM5A	LSG1	0.444	0.437	7.0	6.0	1.194	1.168	0.25	0.75
CACNA1C	ADIPOR2	0.356	0.391	6.0	6.0	2.429	2.096	0.0	1.0
GALNT8	MAGED2	0.481	0.48	15.0	14.0	0.247	0.289	0.25	0.0
KCNA1	SLC25A6	0.586	0.598	11.0	7.0	4.887	4.923	0.25	2.0
STYK1	MRPL17	0.447	0.475	30.0	31.0	1.699	1.596	0.75	0.5
GRIN2B	GALNT11	0.503	0.5	2.0	3.0	1.908	1.958	0.0	0.25
SLCO1B3	NT5C1B-RDH14	0.372	0.372	5.0	2.0	1.069	1.715	0.5	0.0
SLCO1B3-SLCO1B7	GSTO1	0.339	0.382	5.0	10.0	1.072	0.551	0.5	0.25
SOX5	DAP	0.54	0.546	2.0	4.0	0.818	0.776	0.0	0.25
CCDC91	ZRANB1	0.356	0.384	5.0	7.0	0.591	0.454	0.0	0.75
PRICKLE1	TAPT1	0.53	0.532	4.0	4.0	0.7	0.613	0.25	0.25
ARID2	RPL7	0.557	0.563	1.0	5.0	0.889	0.932	0.0	0.0
VDR	EIF4A3	0.571	0.57	14.0	15.0	0.854	0.762	0.0	1.25
ARF3	MRPL58	0.525	0.516	32.0	32.0	0.561	0.488	0.75	0.75
WNT1	RRP9	0.588	0.586	31.0	30.0	0.57	0.549	0.25	0.5
SCN8A	LSM1	0.525	0.522	17.0	18.0	1.376	1.349	0.5	0.75
SMARCC2	ANKRD52	0.556	0.564	48.0	46.0	0.153	0.124	0.5	0.75
LRP1	ELOB	0.586	0.599	36.0	41.0	2.696	2.553	0.0	0.5
MBD6	DNAJB2	0.559	0.554	39.0	38.0	0.353	0.495	0.5	0.0
AGAP2	PFDN5	0.488	0.494	30.0	32.0	0.291	0.237	0.5	1.0
USP15	TXNL1	0.45	0.443	2.0	2.0	0.249	0.095	0.25	0.25
AVPR1A	BTG1	0.515	0.511	1.0	0.0	0.63	0.74	0.0	0.0
LEMD3	TMEM248	0.499	0.501	5.0	6.0	0.112	0.073	0.25	1.5
GRIP1	GLRX3	0.565	0.58	1.0	2.0	1.637	1.674	0.0	0.5
PTPRB	SLU7	0.376	0.41	3.0	8.0	1.709	1.57	0.0	0.0
KRR1	POLR2K	0.385	0.394	5.0	6.0	0.17	0.206	0.25	0.5
NAV3	SLC25A3	0.49	0.481	2.0	3.0	0.651	0.596	0.0	0.5
CEP290	UQCRB	0.423	0.427	4.0	5.0	0.432	0.505	0.0	0.5
ANKS1B	WASL	0.484	0.482	7.0	7.0	0.194	0.075	0.0	0.0
PAH	YWHAZ	0.553	0.548	2.0	4.0	2.125	1.797	0.0	0.25
NUAK1	LRPAP1	0.596	0.59	4.0	6.0	2.574	2.469	0.0	0.25
CUX2	RCC2	0.598	0.59	8.0	11.0	0.16	0.259	0.0	0.0
HECTD4	UBP1	0.547	0.552	7.0	8.0	0.023	0.161	1.0	1.25
PTPN11	USP34	0.541	0.54	8.0	8.0	0.016	0.053	2.25	0.75
MED13L	EMC8	0.565	0.545	3.0	4.0	1.258	1.413	0.5	0.5
BICDL1	USP39	0.577	0.574	15.0	17.0	0.337	0.194	0.25	0.5
KDM2B	EIF3D	0.501	0.506	16.0	15.0	3.569	3.577	0.25	1.5
SETD1B	THAP4	0.59	0.591	20.0	17.0	1.034	1.188	0.0	0.5
DENR	TMED2	0.497	0.505	18.0	18.0	0.57	0.503	0.25	1.5
ATP6V0A2	POFUT1	0.548	0.547	17.0	17.0	0.184	0.111	0.75	0.25
DNAH10	NUFIP2	0.523	0.52	15.0	15.0	1.227	1.137	0.75	0.25
EP400	USP12	0.554	0.553	7.0	7.0	0.438	0.364	2.5	0.25
ZMYM2	CTSZ	0.586	0.598	7.0	11.0	1.751	1.352	0.0	0.25
SACS	IPO5	0.443	0.434	4.0	2.0	2.447	2.228	0.75	1.25
KATNAL1	HMGB1	0.461	0.46	5.0	6.0	0.998	0.837	0.0	0.0
BRCA2	CMAS	0.472	0.478	5.0	7.0	2.108	2.256	0.75	0.25
NBEA	DHX15	0.498	0.498	0.0	3.0	0.454	0.349	0.0	0.5
SETDB2	DERL1	0.477	0.472	10.0	9.0	1.932	1.781	0.75	0.5
INTS6	NAP1L4	0.547	0.55	8.0	8.0	0.21	0.173	0.0	0.75
PCDH9	TMX3	0.459	0.452	0.0	1.0	1.815	1.528	0.0	0.75
CLN5	TMEM41A	0.494	0.495	6.0	7.0	0.799	0.806	0.5	0.5
MYCBP2	PPP2CB	0.482	0.485	8.0	8.0	0.456	0.551	0.0	0.75
SPRY2	PABPC1	0.571	0.572	0.0	5.0	0.801	0.741	0.0	0.5
SLITRK5	CAND1	0.492	0.487	0.0	2.0	0.76	0.899	0.0	0.25
GPC6	ZNF622	0.501	0.506	0.0	3.0	0.88	0.815	0.0	0.25
MYO16	MRPL44	0.388	0.413	3.0	6.0	1.964	1.511	0.0	0.0
CHAMP1	GOLGA4	0.487	0.486	6.0	6.0	0.179	0.115	1.25	0.25
SUPT16H	MRPL9	0.461	0.466	24.0	24.0	0.273	0.401	0.0	0.25
CHD8	CORO7-PAM16	0.478	0.483	22.0	23.0	0.279	0.288	1.25	2.25
SLC7A7	MRPL54	0.461	0.516	28.0	29.0	6.163	5.301	1.0	1.75
FOXG1	CBR4	0.442	0.452	0.0	2.0	2.22	2.65	0.0	0.5
ARHGAP5	SYPL1	0.51	0.5	1.0	3.0	0.942	1.041	0.0	0.5
FBXO33	GPBP1	0.511	0.509	5.0	4.0	0.112	0.115	0.0	0.25
LRFN5	SLC38A2	0.552	0.542	0.0	3.0	0.141	0.142	0.0	0.0
PRPF39	EIF1B	0.441	0.446	6.0	6.0	0.097	0.159	0.25	0.0
MDGA2	ESYT2	0.566	0.595	0.0	4.0	0.426	0.661	0.0	0.25
SOS2	PICALM	0.497	0.498	10.0	10.0	0.129	0.167	0.25	0.0
EXOC5	ZCRB1	0.439	0.438	4.0	4.0	0.297	0.157	0.25	0.25
KCNH5	DDX18	0.396	0.397	3.0	2.0	0.469	0.205	0.25	0.0
ESR2	TOMM70	0.48	0.48	7.0	7.0	0.19	0.103	0.5	0.25
GPHN	MSN	0.528	0.528	1.0	2.0	0.068	0.277	0.25	0.5
ZFYVE26	TMED7-TICAM2	0.449	0.453	12.0	12.0	0.281	0.321	0.75	0.25
ESRRB	BOD1	0.471	0.471	4.0	6.0	2.08	1.784	0.0	0.25
VASH1	WNK1	0.583	0.58	8.0	7.0	2.517	2.415	0.0	0.0
IRF2BPL	IMP3	0.611	0.602	16.0	16.0	1.336	1.3	0.5	0.0
NRXN3	SNX9	0.463	0.468	4.0	5.0	1.384	1.426	0.0	0.25
CCDC88C	PEDS1-UBE2V1	0.573	0.578	6.0	9.0	0.693	0.525	0.0	0.75
UNC79	PPP6C	0.502	0.505	10.0	10.0	0.095	0.117	0.25	1.75
YY1	MORF4L1	0.605	0.609	8.0	11.0	0.334	0.682	0.5	0.25
DYNC1H1	NDUFB1	0.537	0.528	8.0	8.0	0.531	0.441	0.25	1.75
CDC42BPB	FBH1	0.596	0.602	11.0	12.0	1.055	1.199	0.25	0.25
NIPA1	LMO4	0.5	0.498	5.0	3.0	4.334	4.352	0.25	0.0
NIPA2	AK3	0.523	0.518	6.0	9.0	4.334	3.741	1.75	0.75
CYFIP1	ERGIC1	0.559	0.58	7.0	9.0	4.334	4.144	1.0	0.25
TUBGCP5	DCTD	0.535	0.533	7.0	3.0	4.334	3.838	0.5	0.0
MAGEL2	WSB2	0.566	0.548	5.0	6.0	3.056	3.395	0.0	0.25
UBE3A	HMGB2	0.493	0.503	3.0	4.0	0.729	0.893	0.25	0.0
ATP10A	CUL1	0.561	0.556	1.0	7.0	2.732	2.455	0.0	0.0
GABRB3	TIMM22	0.482	0.503	2.0	12.0	6.751	6.662	0.0	1.5
GABRG3	MKRN1	0.542	0.524	2.0	8.0	4.201	3.422	0.5	1.25
APBA2	ZNF395	0.555	0.551	5.0	9.0	2.553	2.252	0.75	0.5
NSMCE3	TMEM184C	0.44	0.443	3.0	3.0	1.685	1.78	0.0	0.75
ARHGAP11B	SUGT1	0.443	0.442	8.0	8.0	0.211	0.072	0.75	0.0
FAN1	ERP44	0.424	0.419	9.0	8.0	0.198	0.041	0.5	0.0
TRPM1	WRNIP1	0.563	0.584	3.0	10.0	2.452	2.383	0.25	0.5
OTUD7A	MRPL36	0.508	0.519	1.0	5.0	2.131	2.09	0.0	0.0
CHRNA7	RAB9A	0.349	0.431	2.0	7.0	2.325	2.415	0.0	0.0
MEIS2	DDX1	0.525	0.5	0.0	2.0	1.644	1.591	0.0	1.25
THBS1	G3BP1	0.57	0.567	4.0	7.0	0.317	0.237	0.0	0.5
C15orf62	SHISA5	0.602	0.588	27.0	25.0	0.294	0.256	0.0	0.5
UBR1	SCAND1	0.418	0.418	16.0	14.0	0.049	0.203	0.75	1.0
MAP1A	POLR2F	0.523	0.531	26.0	28.0	0.081	0.102	0.25	1.5
TERB2	NDUFB3	0.416	0.419	15.0	13.0	0.108	0.047	0.75	0.25
FBN1	RANBP9	0.562	0.558	8.0	7.0	0.681	0.831	0.25	0.25
DMXL2	ZCCHC17	0.488	0.488	10.0	11.0	0.068	0.083	0.0	0.5
LEO1	SERP1	0.469	0.47	10.0	9.0	0.266	0.262	2.0	0.5
MYO5C	SNX1	0.486	0.484	10.0	11.0	1.416	1.462	0.25	0.25
MYO5A	FBXO21	0.532	0.526	7.0	6.0	0.927	0.805	0.25	0.75
CGNL1	STX16-NPEPL1	0.541	0.586	5.0	13.0	5.657	5.445	0.75	0.0
MYO1E	TMSB4X	0.518	0.508	7.0	5.0	3.352	3.4	0.25	0.0
HERC1	DNAJA2	0.497	0.5	8.0	9.0	0.411	0.407	0.25	0.5
MEGF11	VDAC1	0.622	0.615	9.0	10.0	1.106	0.845	0.0	0.75
ZWILCH	CFAP36	0.453	0.45	8.0	8.0	0.176	0.152	0.75	1.0
CLN6	RSL24D1	0.413	0.421	7.0	7.0	0.666	0.674	0.5	0.0
ANP32A	CAB39	0.564	0.552	7.0	10.0	2.46	2.666	0.0	0.75
TLE3	OGFR	0.616	0.628	0.0	19.0	5.331	4.869	0.0	0.25
CELF6	UBFD1	0.534	0.531	14.0	13.0	0.268	0.196	0.75	0.75
BBS4	PET117	0.477	0.482	13.0	14.0	0.721	0.662	1.75	0.5
NEO1	ATOX1	0.526	0.528	6.0	7.0	0.288	0.227	0.0	0.0
CD276	POLR1D	0.574	0.571	11.0	11.0	0.694	0.574	0.25	0.0
SIN3A	TOB2	0.599	0.616	17.0	20.0	0.012	0.086	0.25	0.0
CIB2	RNF216	0.569	0.561	13.0	13.0	0.626	0.718	0.5	2.0
ARNT2	SETD3	0.558	0.551	7.0	7.0	1.352	1.598	0.0	0.0
AP3B2	ZFYVE21	0.596	0.615	15.0	16.0	0.216	0.259	0.0	0.5
NTRK3	ARL8A	0.608	0.587	6.0	11.0	3.641	3.282	0.0	0.5
ZNF774	HSPA9	0.492	0.496	16.0	14.0	0.582	0.619	1.0	1.0
ST8SIA2	PTMA	0.608	0.598	2.0	8.0	2.515	2.308	0.0	0.5
CHD2	TXNDC9	0.304	0.366	3.0	12.0	0.602	0.053	0.0	1.0
NPRL3	RAB4B-EGLN2	0.52	0.53	28.0	29.0	0.998	1.032	1.5	0.75
METTL26	DRAP1	0.662	0.658	45.0	42.0	0.492	0.363	0.0	0.0
CACNA1H	PPDPF	0.709	0.686	39.0	31.0	4.744	4.555	0.25	0.0
MAPK8IP3	HAGH	0.562	0.574	49.0	50.0	0.178	0.495	0.75	0.75
TSC2	ISOC2	0.574	0.581	50.0	49.0	3.244	3.016	1.0	0.5
TRAF7	ASPSCR1	0.586	0.584	47.0	46.0	1.154	1.071	0.25	1.75
CASKIN1	SDF4	0.669	0.636	47.0	41.0	1.226	1.076	0.25	0.5
