ring	category	gene	promoter_per_kb	background_per_kb	normalised
10-100 kb	HighConfNDD	ADORA3	0.0	0.38333333333333336	0.0
10-100 kb	HighConfNDD	KCND3	0.0	0.1111111111111111	0.0
10-100 kb	HighConfNDD	TRIM33	0.5	1.0222222222222221	0.48913043478260876
10-100 kb	HighConfNDD	AMPD1	0.75	0.7277777777777777	1.0305343511450382
10-100 kb	HighConfNDD	CSDE1	0.5	0.5166666666666667	0.9677419354838709
10-100 kb	HighConfNDD	SLC22A15	0.25	0.40555555555555556	0.6164383561643836
10-100 kb	HighConfNDD	ATP1A1	0.25	0.2722222222222222	0.9183673469387756
10-100 kb	HighConfNDD	APH1A	1.0	1.5777777777777777	0.6338028169014085
10-100 kb	HighConfNDD	SETDB1	1.75	1.3444444444444446	1.3016528925619835
10-100 kb	HighConfNDD	POGZ	1.0	1.1611111111111112	0.8612440191387559
10-100 kb	HighConfNDD	ILF2	1.75	1.35	1.2962962962962963
10-100 kb	HighConfNDD	UBAP2L	0.0	1.45	0.0
10-100 kb	HighConfNDD	CHRNB2	0.25	0.7666666666666667	0.32608695652173914
10-100 kb	HighConfNDD	ASH1L	0.75	1.3277777777777777	0.5648535564853556
10-100 kb	HighConfNDD	IQGAP3	0.5	0.7388888888888889	0.6766917293233082
10-100 kb	HighConfNDD	NTRK1	0.25	0.7055555555555556	0.3543307086614173
10-100 kb	HighConfNDD	PYHIN1	0.0	0.17222222222222222	0.0
10-100 kb	HighConfNDD	FCRL6	0.25	0.2	1.25
10-100 kb	HighConfNDD	KCNJ10	0.25	0.3333333333333333	0.75
10-100 kb	HighConfNDD	ATP1A2	0.0	0.3333333333333333	0.0
10-100 kb	HighConfNDD	PBX1	1.5	0.5	3.0
10-100 kb	HighConfNDD	KLHL20	0.0	0.5611111111111111	0.0
10-100 kb	HighConfNDD	ASTN1	0.0	0.15555555555555556	0.0
10-100 kb	HighConfNDD	CACNA1E	0.0	0.19444444444444445	0.0
10-100 kb	HighConfNDD	PTGS2	0.0	0.4111111111111111	0.0
10-100 kb	HighConfNDD	ASPM	0.5	0.20555555555555555	2.4324324324324325
10-100 kb	HighConfNDD	PTPRC	0.0	0.24444444444444444	0.0
10-100 kb	HighConfNDD	KIF14	1.0	1.0333333333333334	0.9677419354838709
10-100 kb	HighConfNDD	KDM5B	0.0	1.0333333333333334	0.0
10-100 kb	HighConfNDD	ZC3H11A	0.5	1.2666666666666666	0.39473684210526316
10-100 kb	HighConfNDD	CNTN2	0.0	0.5111111111111111	0.0
10-100 kb	HighConfNDD	RBBP5	0.75	0.7888888888888889	0.9507042253521127
10-100 kb	HighConfNDD	AVPR1B	0.75	0.55	1.3636363636363635
10-100 kb	HighConfNDD	RASSF5	0.0	0.40555555555555556	0.0
10-100 kb	HighConfNDD	HSD11B1	0.0	0.21666666666666667	0.0
10-100 kb	HighConfNDD	USH2A	0.25	0.16111111111111112	1.5517241379310345
10-100 kb	HighConfNDD	MARK1	0.0	0.2722222222222222	0.0
10-100 kb	HighConfNDD	NUP133	0.5	0.9222222222222223	0.5421686746987951
10-100 kb	HighConfNDD	TSNAX-DISC1	0.25	0.6444444444444445	0.3879310344827586
10-100 kb	HighConfNDD	DISC1	0.75	0.4888888888888889	1.5340909090909092
10-100 kb	HighConfNDD	CHRM3	0.0	0.3611111111111111	0.0
10-100 kb	HighConfNDD	RGS7	0.0	0.24444444444444444	0.0
10-100 kb	HighConfNDD	ADSS2	0.0	0.6166666666666667	0.0
10-100 kb	HighConfNDD	HNRNPU	0.0	1.2833333333333334	0.0
10-100 kb	HighConfNDD	OR1C1	0.25	0.22777777777777777	1.0975609756097562
10-100 kb	HighConfNDD	OR2M4	0.5	0.09444444444444444	5.294117647058823
10-100 kb	HighConfNDD	OR2T10	0.25	0.1	2.5
10-100 kb	HighConfNDD	ZMYND11	1.0	0.46111111111111114	2.1686746987951806
10-100 kb	HighConfNDD	DIP2C	0.0	0.3	0.0
10-100 kb	HighConfNDD	CELF2	0.5	0.35555555555555557	1.40625
10-100 kb	HighConfNDD	UPF2	0.5	1.5555555555555556	0.3214285714285714
10-100 kb	HighConfNDD	CACNB2	0.75	0.4722222222222222	1.5882352941176472
10-100 kb	HighConfNDD	MKX	0.0	0.35	0.0
10-100 kb	HighConfNDD	WAC	0.75	0.8722222222222222	0.8598726114649682
10-100 kb	HighConfNDD	HNRNPF	1.25	1.6055555555555556	0.7785467128027681
10-100 kb	HighConfNDD	WDFY4	0.75	0.13333333333333333	5.625
10-100 kb	HighConfNDD	PCDH15	0.0	0.19444444444444445	0.0
10-100 kb	HighConfNDD	ANK3	0.0	0.3277777777777778	0.0
10-100 kb	HighConfNDD	REEP3	0.25	0.7333333333333333	0.34090909090909094
10-100 kb	HighConfNDD	JMJD1C	0.25	0.7388888888888889	0.3383458646616541
10-100 kb	HighConfNDD	CTNNA3	0.5	0.6388888888888888	0.782608695652174
10-100 kb	HighConfNDD	ADK	0.25	0.9888888888888889	0.25280898876404495
10-100 kb	HighConfNDD	KCNMA1	0.0	0.3333333333333333	0.0
10-100 kb	HighConfNDD	ZMIZ1	0.0	0.2388888888888889	0.0
10-100 kb	HighConfNDD	DYDC2	1.25	0.5111111111111111	2.4456521739130435
10-100 kb	HighConfNDD	DYDC1	0.25	0.5611111111111111	0.44554455445544555
10-100 kb	HighConfNDD	GRID1	0.0	0.5722222222222222	0.0
10-100 kb	HighConfNDD	PTEN	0.0	0.4388888888888889	0.0
10-100 kb	HighConfNDD	BTAF1	0.5	0.6555555555555556	0.7627118644067796
10-100 kb	HighConfNDD	EXOC6	0.75	0.7722222222222223	0.9712230215827338
10-100 kb	HighConfNDD	LGI1	0.0	0.4	0.0
10-100 kb	HighConfNDD	SLC35G1	0.25	0.4	0.625
10-100 kb	HighConfNDD	LZTS2	0.25	0.7555555555555555	0.33088235294117646
10-100 kb	HighConfNDD	BTRC	0.5	0.7888888888888889	0.6338028169014085
10-100 kb	HighConfNDD	LDB1	0.0	1.4222222222222223	0.0
10-100 kb	HighConfNDD	BORCS7-ASMT	2.25	1.288888888888889	1.7456896551724137
10-100 kb	HighConfNDD	SORCS3	0.0	0.2	0.0
10-100 kb	HighConfNDD	SMC3	1.0	0.6222222222222222	1.6071428571428572
10-100 kb	HighConfNDD	TCF7L2	0.0	0.6888888888888889	0.0
10-100 kb	HighConfNDD	DOCK1	0.0	0.4888888888888889	0.0
10-100 kb	HighConfNDD	EBF3	0.0	0.26666666666666666	0.0
10-100 kb	HighConfNDD	HRAS	0.5	0.9055555555555556	0.5521472392638037
10-100 kb	HighConfNDD	PHRF1	0.0	1.0333333333333334	0.0
10-100 kb	HighConfNDD	DEAF1	0.0	1.1611111111111112	0.0
10-100 kb	HighConfNDD	SLC25A22	0.25	0.9666666666666667	0.25862068965517243
10-100 kb	HighConfNDD	TSPAN4	0.75	0.9611111111111111	0.7803468208092486
10-100 kb	HighConfNDD	BRSK2	0.0	0.26666666666666666	0.0
10-100 kb	HighConfNDD	CTSD	0.75	0.46111111111111114	1.6265060240963853
10-100 kb	HighConfNDD	OR52M1	0.0	0.09444444444444444	0.0
10-100 kb	HighConfNDD	APBB1	0.5	0.5	1.0
10-100 kb	HighConfNDD	TPP1	0.0	0.3055555555555556	0.0
10-100 kb	HighConfNDD	KCNC1	0.0	0.1388888888888889	0.0
10-100 kb	HighConfNDD	NAV2	0.0	0.15555555555555556	0.0
10-100 kb	HighConfNDD	GAS2	0.75	0.18888888888888888	3.9705882352941178
10-100 kb	HighConfNDD	ELP4	0.0	0.3611111111111111	0.0
10-100 kb	HighConfNDD	CAPRIN1	0.25	0.9166666666666666	0.27272727272727276
10-100 kb	HighConfNDD	LRRC4C	0.0	0.2222222222222222	0.0
10-100 kb	HighConfNDD	PHF21A	0.0	0.5888888888888889	0.0
10-100 kb	HighConfNDD	SSRP1	0.5	0.3611111111111111	1.3846153846153846
10-100 kb	HighConfNDD	CTNND1	1.25	1.0166666666666666	1.2295081967213115
10-100 kb	HighConfNDD	CPSF7	1.25	1.0055555555555555	1.2430939226519337
10-100 kb	HighConfNDD	DAGLA	0.25	0.5777777777777777	0.4326923076923077
10-100 kb	HighConfNDD	AHNAK	1.25	1.0722222222222222	1.1658031088082903
10-100 kb	HighConfNDD	HNRNPUL2-BSCL2	0.5	1.6	0.3125
10-100 kb	HighConfNDD	HNRNPUL2	0.5	1.6	0.3125
10-100 kb	HighConfNDD	SLC22A9	0.0	0.08333333333333333	0.0
10-100 kb	HighConfNDD	MARK2	0.0	1.25	0.0
10-100 kb	HighConfNDD	NRXN2	0.0	0.5833333333333334	0.0
10-100 kb	HighConfNDD	SF1	0.5	0.6722222222222223	0.743801652892562
10-100 kb	HighConfNDD	POLA2	1.25	1.1111111111111112	1.125
10-100 kb	HighConfNDD	KCNK7	0.75	0.8333333333333334	0.8999999999999999
10-100 kb	HighConfNDD	PACS1	0.0	0.9888888888888889	0.0
10-100 kb	HighConfNDD	DPP3	0.5	1.2055555555555555	0.4147465437788019
10-100 kb	HighConfNDD	CTSF	1.0	1.288888888888889	0.7758620689655172
10-100 kb	HighConfNDD	KMT5B	0.0	1.0944444444444446	0.0
10-100 kb	HighConfNDD	PPFIA1	0.75	0.9722222222222222	0.7714285714285715
10-100 kb	HighConfNDD	SHANK2	0.0	0.5333333333333333	0.0
10-100 kb	HighConfNDD	DHCR7	0.5	0.3388888888888889	1.4754098360655736
10-100 kb	HighConfNDD	EMSY	0.25	0.6111111111111112	0.40909090909090906
10-100 kb	HighConfNDD	DLG2	0.0	0.35	0.0
10-100 kb	HighConfNDD	GRM5	0.0	0.17777777777777778	0.0
10-100 kb	HighConfNDD	CNTN5	0.0	0.12222222222222222	0.0
10-100 kb	HighConfNDD	TRPC6	0.25	0.2722222222222222	0.9183673469387756
10-100 kb	HighConfNDD	GUCY1A2	0.0	0.21666666666666667	0.0
10-100 kb	HighConfNDD	PPP2R1B	0.25	0.7	0.35714285714285715
10-100 kb	HighConfNDD	DIXDC1	1.0	0.7388888888888889	1.3533834586466165
10-100 kb	HighConfNDD	DRD2	0.0	0.19444444444444445	0.0
10-100 kb	HighConfNDD	HTR3A	0.5	0.9	0.5555555555555556
10-100 kb	HighConfNDD	ZBTB16	0.0	0.48333333333333334	0.0
10-100 kb	HighConfNDD	CADM1	0.25	0.36666666666666664	0.6818181818181819
10-100 kb	HighConfNDD	PAFAH1B2	0.25	1.0888888888888888	0.2295918367346939
10-100 kb	HighConfNDD	KMT2A	0.0	0.8388888888888889	0.0
10-100 kb	HighConfNDD	MFRP	0.25	0.7277777777777777	0.3435114503816794
10-100 kb	HighConfNDD	GRIK4	0.0	0.5777777777777777	0.0
10-100 kb	HighConfNDD	TBCEL	0.0	0.2111111111111111	0.0
10-100 kb	HighConfNDD	TBCEL-TECTA	0.0	0.2111111111111111	0.0
10-100 kb	HighConfNDD	TECTA	0.0	0.25	0.0
10-100 kb	HighConfNDD	MSANTD2	0.25	0.4166666666666667	0.6
10-100 kb	HighConfNDD	SRPRA	0.25	0.8166666666666667	0.30612244897959184
10-100 kb	HighConfNDD	KIRREL3	0.0	0.1388888888888889	0.0
10-100 kb	HighConfNDD	ARHGAP32	0.0	0.39444444444444443	0.0
10-100 kb	HighConfNDD	KDM5A	0.25	0.8888888888888888	0.28125
10-100 kb	HighConfNDD	CACNA1C	0.0	0.21666666666666667	0.0
10-100 kb	HighConfNDD	GALNT8	0.25	0.26666666666666666	0.9375
10-100 kb	HighConfNDD	KCNA1	0.25	0.2	1.25
10-100 kb	HighConfNDD	STYK1	0.75	0.26666666666666666	2.8125
10-100 kb	HighConfNDD	GRIN2B	0.0	0.22777777777777777	0.0
10-100 kb	HighConfNDD	SLCO1B3	0.5	0.2222222222222222	2.25
10-100 kb	HighConfNDD	SLCO1B3-SLCO1B7	0.5	0.24444444444444444	2.0454545454545454
10-100 kb	HighConfNDD	SOX5	0.0	0.23333333333333334	0.0
10-100 kb	HighConfNDD	CCDC91	0.0	0.2111111111111111	0.0
10-100 kb	HighConfNDD	PRICKLE1	0.25	0.7388888888888889	0.3383458646616541
10-100 kb	HighConfNDD	ARID2	0.0	0.55	0.0
10-100 kb	HighConfNDD	VDR	0.0	0.32222222222222224	0.0
10-100 kb	HighConfNDD	ARF3	0.75	0.9722222222222222	0.7714285714285715
10-100 kb	HighConfNDD	WNT1	0.25	1.0833333333333333	0.23076923076923078
10-100 kb	HighConfNDD	SCN8A	0.5	0.45	1.1111111111111112
10-100 kb	HighConfNDD	SMARCC2	0.5	1.1555555555555554	0.4326923076923077
10-100 kb	HighConfNDD	LRP1	0.0	0.5333333333333333	0.0
10-100 kb	HighConfNDD	MBD6	0.5	0.9833333333333333	0.5084745762711864
10-100 kb	HighConfNDD	AGAP2	0.5	0.7333333333333333	0.6818181818181819
10-100 kb	HighConfNDD	USP15	0.25	0.28888888888888886	0.8653846153846154
10-100 kb	HighConfNDD	AVPR1A	0.0	0.16666666666666666	0.0
10-100 kb	HighConfNDD	LEMD3	0.25	0.3333333333333333	0.75
10-100 kb	HighConfNDD	GRIP1	0.0	0.4	0.0
10-100 kb	HighConfNDD	PTPRB	0.0	0.38333333333333336	0.0
10-100 kb	HighConfNDD	KRR1	0.25	0.24444444444444444	1.0227272727272727
10-100 kb	HighConfNDD	NAV3	0.0	0.2	0.0
10-100 kb	HighConfNDD	CEP290	0.0	0.25555555555555554	0.0
10-100 kb	HighConfNDD	ANKS1B	0.0	0.5111111111111111	0.0
10-100 kb	HighConfNDD	PAH	0.0	0.15	0.0
10-100 kb	HighConfNDD	NUAK1	0.0	0.24444444444444444	0.0
10-100 kb	HighConfNDD	CUX2	0.0	0.5111111111111111	0.0
10-100 kb	HighConfNDD	HECTD4	1.0	1.4555555555555555	0.6870229007633588
10-100 kb	HighConfNDD	PTPN11	2.25	1.3888888888888888	1.62
10-100 kb	HighConfNDD	MED13L	0.5	0.7611111111111111	0.6569343065693432
10-100 kb	HighConfNDD	BICDL1	0.25	1.3111111111111111	0.1906779661016949
10-100 kb	HighConfNDD	KDM2B	0.25	1.8388888888888888	0.13595166163141995
10-100 kb	HighConfNDD	SETD1B	0.0	1.7	0.0
10-100 kb	HighConfNDD	DENR	0.25	1.4444444444444444	0.17307692307692307
10-100 kb	HighConfNDD	ATP6V0A2	0.75	1.2666666666666666	0.5921052631578948
10-100 kb	HighConfNDD	DNAH10	0.75	1.1555555555555554	0.6490384615384616
10-100 kb	HighConfNDD	EP400	2.5	0.8388888888888889	2.980132450331126
10-100 kb	HighConfNDD	ZMYM2	0.0	1.2166666666666666	0.0
10-100 kb	HighConfNDD	SACS	0.75	0.5333333333333333	1.40625
10-100 kb	HighConfNDD	KATNAL1	0.0	0.5277777777777778	0.0
10-100 kb	HighConfNDD	BRCA2	0.75	0.55	1.3636363636363635
10-100 kb	HighConfNDD	NBEA	0.0	0.28888888888888886	0.0
10-100 kb	HighConfNDD	SETDB2	0.75	0.5944444444444444	1.2616822429906542
10-100 kb	HighConfNDD	INTS6	0.0	0.3388888888888889	0.0
10-100 kb	HighConfNDD	PCDH9	0.0	0.19444444444444445	0.0
10-100 kb	HighConfNDD	CLN5	0.5	0.4111111111111111	1.2162162162162162
10-100 kb	HighConfNDD	MYCBP2	0.0	0.3388888888888889	0.0
10-100 kb	HighConfNDD	SPRY2	0.0	0.7666666666666667	0.0
10-100 kb	HighConfNDD	SLITRK5	0.0	0.15555555555555556	0.0
10-100 kb	HighConfNDD	GPC6	0.0	0.22777777777777777	0.0
10-100 kb	HighConfNDD	MYO16	0.0	0.23333333333333334	0.0
10-100 kb	HighConfNDD	SUPT16H	0.0	1.2666666666666666	0.0
10-100 kb	HighConfNDD	CHD8	1.25	1.1611111111111112	1.076555023923445
10-100 kb	HighConfNDD	SLC7A7	1.0	1.1555555555555554	0.8653846153846154
10-100 kb	HighConfNDD	FOXG1	0.0	0.32222222222222224	0.0
10-100 kb	HighConfNDD	ARHGAP5	0.0	0.4166666666666667	0.0
10-100 kb	HighConfNDD	FBXO33	0.0	0.35555555555555557	0.0
10-100 kb	HighConfNDD	LRFN5	0.0	0.17777777777777778	0.0
10-100 kb	HighConfNDD	PRPF39	0.25	0.85	0.29411764705882354
10-100 kb	HighConfNDD	MDGA2	0.0	0.19444444444444445	0.0
10-100 kb	HighConfNDD	SOS2	0.25	1.1777777777777778	0.2122641509433962
10-100 kb	HighConfNDD	EXOC5	0.25	0.35555555555555557	0.703125
10-100 kb	HighConfNDD	KCNH5	0.25	0.21666666666666667	1.1538461538461537
10-100 kb	HighConfNDD	ESR2	0.5	1.2833333333333334	0.3896103896103896
10-100 kb	HighConfNDD	GPHN	0.25	0.16666666666666666	1.5
10-100 kb	HighConfNDD	ZFYVE26	0.75	0.5	1.5
10-100 kb	HighConfNDD	ESRRB	0.0	0.37777777777777777	0.0
10-100 kb	HighConfNDD	VASH1	0.0	0.6111111111111112	0.0
10-100 kb	HighConfNDD	IRF2BPL	0.5	0.9055555555555556	0.5521472392638037
10-100 kb	HighConfNDD	NRXN3	0.0	0.24444444444444444	0.0
10-100 kb	HighConfNDD	CCDC88C	0.0	0.8111111111111111	0.0
10-100 kb	HighConfNDD	UNC79	0.25	0.6444444444444445	0.3879310344827586
10-100 kb	HighConfNDD	YY1	0.5	1.0555555555555556	0.47368421052631576
10-100 kb	HighConfNDD	DYNC1H1	0.25	1.05	0.23809523809523808
10-100 kb	HighConfNDD	CDC42BPB	0.25	0.7444444444444445	0.33582089552238803
10-100 kb	HighConfNDD	NIPA1	0.25	1.0166666666666666	0.24590163934426232
10-100 kb	HighConfNDD	NIPA2	1.75	1.05	1.6666666666666665
10-100 kb	HighConfNDD	CYFIP1	1.0	1.0722222222222222	0.9326424870466321
10-100 kb	HighConfNDD	TUBGCP5	0.5	1.011111111111111	0.4945054945054945
10-100 kb	HighConfNDD	MAGEL2	0.0	0.48333333333333334	0.0
10-100 kb	HighConfNDD	UBE3A	0.25	0.3	0.8333333333333334
10-100 kb	HighConfNDD	ATP10A	0.0	0.5277777777777778	0.0
10-100 kb	HighConfNDD	GABRB3	0.0	0.32222222222222224	0.0
10-100 kb	HighConfNDD	GABRG3	0.5	0.2722222222222222	1.8367346938775513
10-100 kb	HighConfNDD	APBA2	0.75	0.5611111111111111	1.3366336633663367
10-100 kb	HighConfNDD	NSMCE3	0.0	0.42777777777777776	0.0
10-100 kb	HighConfNDD	ARHGAP11B	0.75	0.5166666666666667	1.4516129032258063
10-100 kb	HighConfNDD	FAN1	0.5	0.5888888888888889	0.8490566037735848
10-100 kb	HighConfNDD	TRPM1	0.25	0.5888888888888889	0.4245283018867924
10-100 kb	HighConfNDD	OTUD7A	0.0	0.2	0.0
10-100 kb	HighConfNDD	CHRNA7	0.0	0.20555555555555555	0.0
10-100 kb	HighConfNDD	MEIS2	0.0	0.26666666666666666	0.0
10-100 kb	HighConfNDD	THBS1	0.0	0.18888888888888888	0.0
10-100 kb	HighConfNDD	C15orf62	0.0	1.4333333333333333	0.0
10-100 kb	HighConfNDD	UBR1	0.75	0.7166666666666667	1.0465116279069768
10-100 kb	HighConfNDD	MAP1A	0.25	0.9944444444444445	0.25139664804469275
10-100 kb	HighConfNDD	TERB2	0.75	0.5833333333333334	1.2857142857142856
10-100 kb	HighConfNDD	FBN1	0.25	0.21666666666666667	1.1538461538461537
10-100 kb	HighConfNDD	DMXL2	0.0	0.42777777777777776	0.0
10-100 kb	HighConfNDD	LEO1	2.0	1.1555555555555554	1.7307692307692308
10-100 kb	HighConfNDD	MYO5C	0.25	0.5	0.5
10-100 kb	HighConfNDD	MYO5A	0.25	0.7388888888888889	0.3383458646616541
10-100 kb	HighConfNDD	CGNL1	0.75	0.5722222222222222	1.3106796116504855
10-100 kb	HighConfNDD	MYO1E	0.25	0.8	0.3125
10-100 kb	HighConfNDD	HERC1	0.25	0.7388888888888889	0.3383458646616541
10-100 kb	HighConfNDD	MEGF11	0.0	0.8444444444444444	0.0
10-100 kb	HighConfNDD	ZWILCH	0.75	0.9277777777777778	0.8083832335329341
10-100 kb	HighConfNDD	CLN6	0.5	0.4666666666666667	1.0714285714285714
10-100 kb	HighConfNDD	ANP32A	0.0	0.7333333333333333	0.0
10-100 kb	HighConfNDD	TLE3	0.0	0.17777777777777778	0.0
10-100 kb	HighConfNDD	CELF6	0.75	0.7944444444444444	0.9440559440559441
10-100 kb	HighConfNDD	BBS4	1.75	0.6555555555555556	2.669491525423729
10-100 kb	HighConfNDD	NEO1	0.0	0.4388888888888889	0.0
10-100 kb	HighConfNDD	CD276	0.25	0.4777777777777778	0.5232558139534883
10-100 kb	HighConfNDD	SIN3A	0.25	1.4277777777777778	0.17509727626459143
10-100 kb	HighConfNDD	CIB2	0.5	0.6277777777777778	0.7964601769911505
10-100 kb	HighConfNDD	ARNT2	0.0	0.16666666666666666	0.0
10-100 kb	HighConfNDD	AP3B2	0.0	0.8388888888888889	0.0
10-100 kb	HighConfNDD	NTRK3	0.0	0.16666666666666666	0.0
10-100 kb	HighConfNDD	ZNF774	1.0	1.05	0.9523809523809523
10-100 kb	HighConfNDD	ST8SIA2	0.0	0.17777777777777778	0.0
10-100 kb	HighConfNDD	CHD2	0.0	1.1111111111111112	0.0
10-100 kb	HighConfNDD	NPRL3	1.5	1.15	1.3043478260869565
10-100 kb	HighConfNDD	METTL26	0.0	0.36666666666666664	0.0
10-100 kb	HighConfNDD	CACNA1H	0.25	0.2833333333333333	0.8823529411764706
10-100 kb	HighConfNDD	MAPK8IP3	0.75	0.7444444444444445	1.007462686567164
10-100 kb	HighConfNDD	TSC2	1.0	0.7055555555555556	1.4173228346456692
10-100 kb	HighConfNDD	TRAF7	0.25	0.7555555555555555	0.33088235294117646
10-100 kb	HighConfNDD	CASKIN1	0.25	0.7833333333333333	0.3191489361702128
10-100 kb	HighConfNDD	SRRM2	1.0	0.6222222222222222	1.6071428571428572
10-100 kb	HighConfNDD	CREBBP	0.25	1.0888888888888888	0.2295918367346939
10-100 kb	HighConfNDD	ROGDI	0.0	1.2166666666666666	0.0
10-100 kb	HighConfNDD	RBFOX1	0.0	0.6888888888888889	0.0
10-100 kb	HighConfNDD	ABAT	0.25	0.9555555555555556	0.26162790697674415
10-100 kb	HighConfNDD	USP7	1.0	1.511111111111111	0.6617647058823529
10-100 kb	HighConfNDD	GRIN2A	0.25	0.7388888888888889	0.3383458646616541
10-100 kb	HighConfNDD	MRTFB	0.5	0.65	0.7692307692307692
10-100 kb	HighConfNDD	SYT17	0.75	0.8777777777777778	0.8544303797468354
10-100 kb	HighConfNDD	DNAH3	0.25	1.038888888888889	0.24064171122994651
10-100 kb	HighConfNDD	PRKCB	0.0	0.8944444444444445	0.0
10-100 kb	HighConfNDD	CLN3	0.25	1.8166666666666667	0.13761467889908258
10-100 kb	HighConfNDD	PRRT2	0.0	1.6	0.0
10-100 kb	HighConfNDD	SEZ6L2	0.0	1.2555555555555555	0.0
10-100 kb	HighConfNDD	KCTD13	0.75	1.3222222222222222	0.5672268907563025
10-100 kb	HighConfNDD	TAOK2	0.0	1.3611111111111112	0.0
10-100 kb	HighConfNDD	MAPK3	1.25	1.4944444444444445	0.8364312267657993
10-100 kb	HighConfNDD	CORO1A	0.75	1.4333333333333333	0.5232558139534884
10-100 kb	HighConfNDD	SRCAP	1.0	1.2444444444444445	0.8035714285714286
10-100 kb	HighConfNDD	SETD1A	0.75	1.4277777777777778	0.5252918287937743
10-100 kb	HighConfNDD	STX1B	0.75	1.2666666666666666	0.5921052631578948
10-100 kb	HighConfNDD	BCKDK	1.0	1.5166666666666666	0.6593406593406593
10-100 kb	HighConfNDD	GNAO1	0.25	0.17777777777777778	1.40625
10-100 kb	HighConfNDD	CNOT1	0.75	1.45	0.5172413793103449
10-100 kb	HighConfNDD	CDH8	0.0	0.3277777777777778	0.0
10-100 kb	HighConfNDD	CDH11	0.0	0.2	0.0
10-100 kb	HighConfNDD	CTCF	0.25	1.4666666666666666	0.17045454545454547
10-100 kb	HighConfNDD	TERF2	1.5	1.1611111111111112	1.2918660287081338
10-100 kb	HighConfNDD	SF3B3	1.75	1.3333333333333333	1.3125
10-100 kb	HighConfNDD	HYDIN	0.0	0.2722222222222222	0.0
10-100 kb	HighConfNDD	CNTNAP4	0.25	0.2833333333333333	0.8823529411764706
10-100 kb	HighConfNDD	WWOX	1.25	0.6	2.0833333333333335
10-100 kb	HighConfNDD	CMIP	0.0	0.65	0.0
10-100 kb	HighConfNDD	CDH13	0.0	0.17777777777777778	0.0
10-100 kb	HighConfNDD	TAF1C	1.5	0.7666666666666667	1.9565217391304346
10-100 kb	HighConfNDD	SLC7A5	0.25	1.0166666666666666	0.24590163934426232
