chrom	start	end	gene	fixed_alu	category	width_kb	PLS_n	ELS_n	CTCF_n	active_all_n	alu_free
chr15	31159160	31163160	TRPM1	1	HighConfNDD	4.0	2	10	0	12	False
chr15	31868789	31872789	OTUD7A	0	HighConfNDD	4.0	1	7	0	9	True
chr15	31921438	31925438	CHRNA7	0	HighConfNDD	4.0	0	0	1	1	True
chr15	37099299	37103299	MEIS2	0	HighConfNDD	4.0	7	6	0	13	True
chr15	39579079	39583079	THBS1	0	HighConfNDD	4.0	1	12	0	13	True
chr15	40767980	40771980	C15orf62	0	HighConfNDD	4.0	1	11	0	12	True
chr15	43104113	43108113	UBR1	3	HighConfNDD	4.0	2	8	0	11	False
chr15	43508958	43512958	MAP1A	1	HighConfNDD	4.0	2	7	0	10	False
chr15	44954687	44958687	TERB2	3	HighConfNDD	4.0	1	2	0	4	False
chr15	48643721	48647721	FBN1	1	HighConfNDD	4.0	2	9	0	11	False
chr15	51620833	51624833	DMXL2	0	HighConfNDD	4.0	2	10	0	12	True
chr15	51969778	51973778	LEO1	8	HighConfNDD	4.0	1	11	0	12	False
chr15	52293804	52297804	MYO5C	1	HighConfNDD	4.0	1	6	0	8	False
chr15	52527132	52531132	MYO5A	1	HighConfNDD	4.0	3	9	0	13	False
chr15	57373967	57377967	CGNL1	3	HighConfNDD	4.0	1	5	0	8	False
chr15	59370871	59374871	MYO1E	1	HighConfNDD	4.0	1	9	0	10	False
chr15	63831948	63835948	HERC1	1	HighConfNDD	4.0	1	7	0	8	False
chr15	66251756	66255756	MEGF11	0	HighConfNDD	4.0	1	7	0	11	True
chr15	66502959	66506959	ZWILCH	3	HighConfNDD	4.0	4	5	0	10	False
chr15	68255211	68259211	CLN6	2	HighConfNDD	4.0	1	3	0	4	False
chr15	68818897	68822897	ANP32A	0	HighConfNDD	4.0	1	11	0	12	True
chr15	70096176	70100176	TLE3	0	HighConfNDD	4.0	4	9	0	13	True
chr15	72318157	72322157	CELF6	3	HighConfNDD	4.0	2	6	0	8	False
chr15	72684186	72688186	BBS4	7	HighConfNDD	4.0	1	7	0	8	False
chr15	73049710	73053710	NEO1	0	HighConfNDD	4.0	3	9	0	12	True
chr15	73681966	73685966	CD276	1	HighConfNDD	4.0	2	9	0	11	False
chr15	75453842	75457842	SIN3A	1	HighConfNDD	4.0	2	10	0	12	False
chr15	78129535	78133535	CIB2	2	HighConfNDD	4.0	2	9	0	11	False
chr15	80402350	80406350	ARNT2	0	HighConfNDD	4.0	2	8	0	10	True
chr15	82708112	82712112	AP3B2	0	HighConfNDD	4.0	2	9	0	14	True
chr15	88254791	88258791	NTRK3	0	HighConfNDD	4.0	3	8	0	11	True
chr15	90350284	90354284	ZNF774	4	HighConfNDD	4.0	1	4	0	5	False
chr15	92391881	92395881	ST8SIA2	0	HighConfNDD	4.0	1	11	0	12	True
chr15	92884203	92888203	CHD2	0	HighConfNDD	4.0	1	12	0	13	True
chr16	136677	140677	NPRL3	6	HighConfNDD	4.0	1	7	0	9	False
chr16	634366	638366	METTL26	0	HighConfNDD	4.0	1	12	0	13	True
chr16	1151103	1155103	CACNA1H	1	HighConfNDD	4.0	1	10	0	11	False
chr16	1704166	1708166	MAPK8IP3	3	HighConfNDD	4.0	2	12	0	14	False
chr16	2045967	2049967	TSC2	4	HighConfNDD	4.0	3	6	0	9	False
chr16	2153698	2157698	TRAF7	1	HighConfNDD	4.0	3	9	0	12	False
chr16	2194605	2198605	CASKIN1	1	HighConfNDD	4.0	2	9	0	12	False
chr16	2750626	2754626	SRRM2	4	HighConfNDD	4.0	3	10	0	13	False
chr16	3878713	3882713	CREBBP	1	HighConfNDD	4.0	3	10	0	13	False
chr16	4800880	4804880	ROGDI	0	HighConfNDD	4.0	3	9	0	12	True
chr16	5237802	5241802	RBFOX1	0	HighConfNDD	4.0	1	0	0	3	True
chr16	8672596	8676596	ABAT	1	HighConfNDD	4.0	1	7	0	8	False
chr16	8973328	8977328	USP7	4	HighConfNDD	4.0	0	0	0	2	False
chr16	10181337	10185337	GRIN2A	1	HighConfNDD	4.0	5	3	0	8	False
chr16	14069319	14073319	MRTFB	2	HighConfNDD	4.0	1	7	0	8	False
chr16	19165971	19169971	SYT17	3	HighConfNDD	4.0	2	6	0	8	False
chr16	21157441	21161441	DNAH3	1	HighConfNDD	4.0	2	8	0	11	False
chr16	23833983	23837983	PRKCB	0	HighConfNDD	4.0	1	9	0	10	True
chr16	28493575	28497575	CLN3	1	HighConfNDD	4.0	2	9	0	11	False
chr16	29809382	29813382	PRRT2	0	HighConfNDD	4.0	4	8	0	12	True
chr16	29897550	29901550	SEZ6L2	0	HighConfNDD	4.0	6	6	0	12	True
chr16	29924236	29928236	KCTD13	3	HighConfNDD	4.0	2	8	0	11	False
chr16	29971868	29975868	TAOK2	0	HighConfNDD	4.0	2	8	0	10	True
chr16	30121506	30125506	MAPK3	5	HighConfNDD	4.0	2	8	0	10	False
